time_s,in_progress,in_progress_10s_mean,vehicle_num,message_size
0.0,1,1.0,25,256
1.0,25,13.0,25,256
2.0,35,20.333333333333332,25,256
3.0,40,25.25,25,256
4.0,34,27.0,25,256
5.0,31,27.666666666666668,25,256
6.0,30,28.0,25,256
7.0,29,28.125,25,256
8.0,35,28.88888888888889,25,256
9.0,39,29.9,25,256
10.0,32,33.0,25,256
11.0,28,33.3,25,256
12.0,34,33.2,25,256
13.0,45,33.7,25,256
14.0,52,35.5,25,256
15.0,46,37.0,25,256
16.0,31,37.1,25,256
17.0,29,37.1,25,256
18.0,23,35.9,25,256
19.0,20,34.0,25,256
20.0,29,33.7,25,256
21.0,30,33.9,25,256
22.0,33,33.8,25,256
23.0,31,32.4,25,256
24.0,37,30.9,25,256
25.0,38,30.1,25,256
26.0,34,30.4,25,256
27.0,30,30.5,25,256
28.0,32,31.4,25,256
29.0,43,33.7,25,256
30.0,44,35.2,25,256
31.0,35,35.7,25,256
32.0,30,35.4,25,256
33.0,34,35.7,25,256
34.0,39,35.9,25,256
35.0,36,35.7,25,256
36.0,36,35.9,25,256
37.0,35,36.4,25,256
38.0,30,36.2,25,256
39.0,36,35.5,25,256
40.0,39,35.0,25,256
41.0,37,35.2,25,256
42.0,36,35.8,25,256
43.0,40,36.4,25,256
44.0,34,35.9,25,256
45.0,28,35.1,25,256
46.0,36,35.1,25,256
47.0,34,35.0,25,256
48.0,24,34.4,25,256
49.0,33,34.1,25,256
50.0,35,33.7,25,256
51.0,30,33.0,25,256
52.0,33,32.7,25,256
53.0,31,31.8,25,256
54.0,32,31.6,25,256
55.0,31,31.9,25,256
56.0,29,31.2,25,256
57.0,42,32.0,25,256
58.0,48,34.4,25,256
59.0,52,36.3,25,256
60.0,41,36.9,25,256
61.0,33,37.2,25,256
62.0,32,37.1,25,256
63.0,26,36.6,25,256
64.0,31,36.5,25,256
65.0,38,37.2,25,256
66.0,29,37.2,25,256
67.0,33,36.3,25,256
68.0,31,34.6,25,256
69.0,32,32.6,25,256
70.0,39,32.4,25,256
71.0,45,33.6,25,256
72.0,41,34.5,25,256
73.0,29,34.8,25,256
74.0,31,34.8,25,256
75.0,36,34.6,25,256
76.0,35,35.2,25,256
77.0,36,35.5,25,256
78.0,34,35.8,25,256
79.0,33,35.9,25,256
80.0,31,35.1,25,256
81.0,19,32.5,25,256
82.0,24,30.8,25,256
83.0,27,30.6,25,256
84.0,35,31.0,25,256
85.0,50,32.4,25,256
86.0,47,33.6,25,256
87.0,37,33.7,25,256
88.0,38,34.1,25,256
89.0,38,34.6,25,256
90.0,32,34.7,25,256
91.0,27,35.5,25,256
92.0,39,37.0,25,256
93.0,30,37.3,25,256
94.0,31,36.9,25,256
95.0,41,36.0,25,256
96.0,42,35.5,25,256
97.0,34,35.2,25,256
98.0,27,34.1,25,256
99.0,29,33.2,25,256
100.0,37,33.7,25,256
101.0,36,34.6,25,256
102.0,29,33.6,25,256
103.0,33,33.9,25,256
104.0,27,33.5,25,256
105.0,39,33.3,25,256
106.0,39,33.0,25,256
107.0,28,32.4,25,256
108.0,46,34.3,25,256
109.0,61,37.5,25,256
110.0,62,40.0,25,256
111.0,40,40.4,25,256
112.0,33,40.8,25,256
113.0,29,40.4,25,256
114.0,38,41.5,25,256
115.0,37,41.3,25,256
116.0,49,42.3,25,256
117.0,41,43.6,25,256
118.0,33,42.3,25,256
119.0,26,38.8,25,256
120.0,33,35.9,25,256
121.0,40,35.9,25,256
122.0,37,36.3,25,256
123.0,35,36.9,25,256
124.0,45,37.6,25,256
125.0,47,38.6,25,256
126.0,40,37.7,25,256
127.0,34,37.0,25,256
128.0,24,36.1,25,256
129.0,43,37.8,25,256
130.0,40,38.5,25,256
131.0,29,37.4,25,256
132.0,30,36.7,25,256
133.0,32,36.4,25,256
134.0,38,35.7,25,256
135.0,41,35.1,25,256
136.0,36,34.7,25,256
137.0,35,34.8,25,256
138.0,32,35.6,25,256
139.0,35,34.8,25,256
140.0,43,35.1,25,256
141.0,39,36.1,25,256
142.0,35,36.6,25,256
143.0,32,36.6,25,256
144.0,25,35.3,25,256
145.0,22,33.4,25,256
146.0,48,34.6,25,256
147.0,54,36.5,25,256
148.0,41,37.4,25,256
149.0,32,37.1,25,256
150.0,34,36.2,25,256
151.0,26,34.9,25,256
152.0,28,34.2,25,256
153.0,32,34.2,25,256
154.0,31,34.8,25,256
155.0,38,36.4,25,256
156.0,39,35.5,25,256
157.0,38,33.9,25,256
158.0,35,33.3,25,256
159.0,47,34.8,25,256
160.0,59,37.3,25,256
161.0,60,40.7,25,256
162.0,56,43.5,25,256
163.0,55,45.8,25,256
164.0,45,47.2,25,256
165.0,36,47.0,25,256
166.0,35,46.6,25,256
167.0,30,45.8,25,256
168.0,48,47.1,25,256
169.0,48,47.2,25,256
170.0,40,45.3,25,256
171.0,35,42.8,25,256
172.0,37,40.9,25,256
173.0,43,39.7,25,256
174.0,38,39.0,25,256
175.0,36,39.0,25,256
176.0,30,38.5,25,256
177.0,33,38.8,25,256
178.0,26,36.6,25,256
179.0,34,35.2,25,256
180.0,52,36.4,25,256
181.0,53,38.2,25,256
182.0,58,40.3,25,256
183.0,54,41.4,25,256
184.0,43,41.9,25,256
185.0,36,41.9,25,256
186.0,27,41.6,25,256
187.0,32,41.5,25,256
188.0,27,41.6,25,256
189.0,32,41.4,25,256
190.0,26,38.8,25,256
191.0,30,36.5,25,256
192.0,32,33.9,25,256
193.0,44,32.9,25,256
194.0,44,33.0,25,256
195.0,30,32.4,25,256
196.0,42,33.9,25,256
197.0,48,35.5,25,256
198.0,58,38.6,25,256
199.0,37,39.1,25,256
200.0,38,40.3,25,256
201.0,36,40.9,25,256
202.0,35,41.2,25,256
203.0,35,40.3,25,256
204.0,31,39.0,25,256
205.0,47,40.7,25,256
206.0,44,40.9,25,256
207.0,34,39.5,25,256
208.0,27,36.4,25,256
209.0,30,35.7,25,256
210.0,32,35.1,25,256
211.0,33,34.8,25,256
212.0,36,34.9,25,256
213.0,35,34.9,25,256
214.0,34,35.2,25,256
215.0,37,34.2,25,256
216.0,35,33.3,25,256
217.0,32,33.1,25,256
218.0,35,33.9,25,256
219.0,38,34.7,25,256
220.0,39,35.4,25,256
221.0,36,35.7,25,256
222.0,34,35.5,25,256
223.0,33,35.3,25,256
224.0,35,35.4,25,256
225.0,38,35.5,25,256
226.0,43,36.3,25,256
227.0,39,37.0,25,256
228.0,31,36.6,25,256
229.0,30,35.8,25,256
230.0,41,36.0,25,256
231.0,36,36.0,25,256
232.0,37,36.3,25,256
233.0,43,37.3,25,256
234.0,43,38.1,25,256
235.0,31,37.4,25,256
236.0,33,36.4,25,256
237.0,38,36.3,25,256
238.0,32,36.4,25,256
239.0,32,36.6,25,256
240.0,34,35.9,25,256
241.0,32,35.5,25,256
242.0,33,35.1,25,256
243.0,33,34.1,25,256
244.0,36,33.4,25,256
245.0,43,34.6,25,256
246.0,38,35.1,25,256
247.0,35,34.8,25,256
248.0,48,36.4,25,256
249.0,37,36.9,25,256
250.0,34,36.9,25,256
251.0,38,37.5,25,256
252.0,41,38.3,25,256
253.0,38,38.8,25,256
254.0,33,38.5,25,256
255.0,34,37.6,25,256
256.0,43,38.1,25,256
257.0,44,39.0,25,256
258.0,48,39.0,25,256
259.0,39,39.2,25,256
260.0,33,39.1,25,256
261.0,43,39.6,25,256
262.0,50,40.5,25,256
263.0,55,42.2,25,256
264.0,47,43.6,25,256
265.0,31,43.3,25,256
266.0,26,41.6,25,256
267.0,41,41.3,25,256
268.0,38,40.3,25,256
269.0,27,39.1,25,256
270.0,13,37.1,25,256
271.0,33,36.1,25,256
272.0,40,35.1,25,256
273.0,34,33.0,25,256
274.0,34,31.7,25,256
275.0,34,32.0,25,256
276.0,32,32.6,25,256
277.0,35,32.0,25,256
278.0,33,31.5,25,256
279.0,38,32.6,25,256
280.0,35,34.8,25,256
281.0,30,34.5,25,256
282.0,27,33.2,25,256
283.0,39,33.7,25,256
284.0,42,34.5,25,256
285.0,36,34.7,25,256
286.0,31,34.6,25,256
287.0,35,34.6,25,256
288.0,39,35.2,25,256
289.0,36,35.0,25,256
290.0,32,34.7,25,256
291.0,29,34.6,25,256
292.0,37,35.6,25,256
293.0,33,35.0,25,256
294.0,36,34.4,25,256
295.0,30,33.8,25,256
296.0,32,33.9,25,256
297.0,38,34.2,25,256
298.0,30,33.3,25,256
299.0,30,32.7,25,256
300.0,37,33.2,25,256
301.0,45,34.8,25,256
302.0,39,35.0,25,256
303.0,32,34.9,25,256
304.0,30,34.3,25,256
305.0,32,34.5,25,256
306.0,34,34.7,25,256
307.0,41,35.0,25,256
308.0,38,35.8,25,256
309.0,26,35.4,25,256
310.0,29,34.6,25,256
311.0,32,33.3,25,256
312.0,35,32.9,25,256
313.0,35,33.2,25,256
314.0,38,34.0,25,256
315.0,43,35.1,25,256
316.0,34,35.1,25,256
317.0,36,34.6,25,256
318.0,43,35.1,25,256
319.0,35,36.0,25,256
320.0,31,36.2,25,256
321.0,26,35.6,25,256
322.0,35,35.6,25,256
323.0,37,35.8,25,256
324.0,50,37.0,25,256
325.0,53,38.0,25,256
326.0,38,38.4,25,256
327.0,33,38.1,25,256
328.0,30,36.8,25,256
329.0,33,36.6,25,256
330.0,36,37.1,25,256
331.0,32,37.7,25,256
332.0,30,37.2,25,256
333.0,31,36.6,25,256
334.0,22,33.8,25,256
335.0,21,30.6,25,256
336.0,37,30.5,25,256
337.0,44,31.6,25,256
338.0,36,32.2,25,256
339.0,28,31.7,25,256
340.0,33,31.4,25,256
341.0,35,31.7,25,256
342.0,33,32.0,25,256
343.0,33,32.2,25,256
344.0,36,33.6,25,256
345.0,37,35.2,25,256
346.0,35,35.0,25,256
347.0,39,34.5,25,256
348.0,36,34.5,25,256
349.0,34,35.1,25,256
350.0,48,36.6,25,256
351.0,48,37.9,25,256
352.0,40,38.6,25,256
353.0,34,38.7,25,256
354.0,36,38.7,25,256
355.0,43,39.3,25,256
356.0,44,40.2,25,256
357.0,52,41.5,25,256
358.0,40,41.9,25,256
359.0,34,41.9,25,256
360.0,31,40.2,25,256
361.0,40,39.4,25,256
362.0,44,39.8,25,256
363.0,39,40.3,25,256
364.0,43,41.0,25,256
365.0,46,41.3,25,256
366.0,44,41.3,25,256
367.0,42,40.3,25,256
368.0,37,40.0,25,256
369.0,55,42.1,25,256
370.0,50,44.0,25,256
371.0,45,44.5,25,256
372.0,31,43.2,25,256
373.0,28,42.1,25,256
374.0,35,41.3,25,256
375.0,31,39.8,25,256
376.0,32,38.6,25,256
377.0,39,38.3,25,256
378.0,42,38.8,25,256
379.0,32,36.5,25,256
380.0,35,35.0,25,256
381.0,43,34.8,25,256
382.0,40,35.7,25,256
383.0,35,36.4,25,256
384.0,30,35.9,25,256
385.0,36,36.4,25,256
386.0,38,37.0,25,256
387.0,38,36.9,25,256
388.0,32,35.9,25,256
389.0,32,35.9,25,256
390.0,35,35.9,25,256
391.0,34,35.0,25,256
392.0,37,34.7,25,256
393.0,33,34.5,25,256
394.0,28,34.3,25,256
395.0,39,34.6,25,256
396.0,34,34.2,25,256
397.0,23,32.7,25,256
398.0,31,32.6,25,256
399.0,36,33.0,25,256
400.0,35,33.0,25,256
401.0,38,33.4,25,256
402.0,37,33.4,25,256
403.0,33,33.4,25,256
404.0,33,33.9,25,256
405.0,32,33.2,25,256
406.0,32,33.0,25,256
407.0,32,33.9,25,256
408.0,37,34.5,25,256
409.0,36,34.5,25,256
410.0,33,34.3,25,256
411.0,31,33.6,25,256
412.0,35,33.4,25,256
413.0,35,33.6,25,256
414.0,29,33.2,25,256
415.0,33,33.3,25,256
416.0,32,33.3,25,256
417.0,48,34.9,25,256
418.0,51,36.3,25,256
419.0,31,35.8,25,256
420.0,32,35.7,25,256
421.0,29,35.5,25,256
422.0,29,34.9,25,256
423.0,34,34.8,25,256
424.0,31,35.0,25,256
425.0,41,35.8,25,256
426.0,38,36.4,25,256
427.0,30,34.6,25,256
428.0,28,32.3,25,256
429.0,34,32.6,25,256
430.0,28,32.2,25,256
431.0,35,32.8,25,256
432.0,38,33.7,25,256
433.0,36,33.9,25,256
434.0,36,34.4,25,256
435.0,34,33.7,25,256
436.0,32,33.1,25,256
437.0,35,33.6,25,256
438.0,39,34.7,25,256
439.0,40,35.3,25,256
440.0,32,35.7,25,256
441.0,41,36.3,25,256
442.0,36,36.1,25,256
443.0,37,36.2,25,256
444.0,44,37.0,25,256
445.0,51,38.7,25,256
446.0,37,39.2,25,256
447.0,32,38.9,25,256
448.0,35,38.5,25,256
449.0,42,38.7,25,256
450.0,35,39.0,25,256
451.0,36,38.5,25,256
452.0,28,37.7,25,256
453.0,27,36.7,25,256
454.0,31,35.4,25,256
455.0,35,33.8,25,256
456.0,38,33.9,25,256
457.0,42,34.9,25,256
458.0,41,35.5,25,256
459.0,45,35.8,25,256
460.0,52,37.5,25,256
461.0,35,37.4,25,256
462.0,34,38.0,25,256
463.0,35,38.8,25,256
464.0,31,38.8,25,256
465.0,31,38.4,25,256
466.0,31,37.7,25,256
467.0,31,36.6,25,256
468.0,39,36.4,25,256
469.0,40,35.9,25,256
470.0,37,34.4,25,256
471.0,33,34.2,25,256
472.0,30,33.8,25,256
473.0,28,33.1,25,256
474.0,32,33.2,25,256
475.0,32,33.3,25,256
476.0,56,35.8,25,256
477.0,65,39.2,25,256
478.0,64,41.7,25,256
479.0,65,44.2,25,256
480.0,47,45.2,25,256
481.0,40,45.9,25,256
482.0,34,46.3,25,256
483.0,34,46.9,25,256
484.0,35,47.2,25,256
485.0,42,48.2,25,256
486.0,43,46.9,25,256
487.0,40,44.4,25,256
488.0,36,41.6,25,256
489.0,42,39.3,25,256
490.0,45,39.1,25,256
491.0,50,40.1,25,256
492.0,39,40.6,25,256
493.0,37,40.9,25,256
494.0,40,41.4,25,256
495.0,40,41.2,25,256
496.0,34,40.3,25,256
497.0,30,39.3,25,256
498.0,34,39.1,25,256
499.0,40,38.9,25,256
500.0,37,38.1,25,256
501.0,29,36.0,25,256
502.0,38,35.9,25,256
503.0,37,35.9,25,256
504.0,32,35.1,25,256
505.0,34,34.5,25,256
506.0,39,35.0,25,256
507.0,40,36.0,25,256
508.0,35,36.1,25,256
509.0,34,35.5,25,256
510.0,35,35.3,25,256
511.0,32,35.6,25,256
512.0,29,34.7,25,256
513.0,31,34.1,25,256
514.0,28,33.7,25,256
515.0,31,33.4,25,256
516.0,40,33.5,25,256
517.0,37,33.2,25,256
518.0,32,32.9,25,256
519.0,33,32.8,25,256
520.0,30,32.3,25,256
521.0,26,31.7,25,256
522.0,33,32.1,25,256
523.0,38,32.8,25,256
524.0,33,33.3,25,256
525.0,32,33.4,25,256
526.0,29,32.3,25,256
527.0,31,31.7,25,256
528.0,33,31.8,25,256
529.0,30,31.5,25,256
530.0,28,31.3,25,256
531.0,28,31.5,25,256
532.0,30,31.2,25,256
533.0,28,30.2,25,256
534.0,30,29.9,25,256
535.0,30,29.7,25,256
536.0,31,29.9,25,256
537.0,34,30.2,25,256
538.0,34,30.3,25,256
539.0,28,30.1,25,256
540.0,34,30.7,25,256
541.0,34,31.3,25,256
542.0,35,31.8,25,256
543.0,31,32.1,25,256
544.0,32,32.3,25,256
545.0,44,33.7,25,256
546.0,44,35.0,25,256
547.0,40,35.6,25,256
548.0,36,35.8,25,256
549.0,35,36.5,25,256
550.0,30,36.1,25,256
551.0,32,35.9,25,256
552.0,39,36.3,25,256
553.0,36,36.8,25,256
554.0,27,36.3,25,256
555.0,28,34.7,25,256
556.0,31,33.4,25,256
557.0,40,33.4,25,256
558.0,42,34.0,25,256
559.0,39,34.4,25,256
560.0,37,35.1,25,256
561.0,36,35.5,25,256
562.0,36,35.2,25,256
563.0,30,34.6,25,256
564.0,45,36.4,25,256
565.0,33,36.9,25,256
566.0,24,36.2,25,256
567.0,33,35.5,25,256
568.0,34,34.7,25,256
569.0,29,33.7,25,256
570.0,32,33.2,25,256
571.0,32,32.8,25,256
572.0,29,32.1,25,256
573.0,30,32.1,25,256
574.0,39,31.5,25,256
