time_s,in_progress,vehicle_num,message_size
0.0,1,25,64
1.0,45,25,64
2.0,39,25,64
3.0,55,25,64
4.0,63,25,64
5.0,62,25,64
6.0,47,25,64
7.0,45,25,64
8.0,55,25,64
9.0,55,25,64
10.0,44,25,64
11.0,41,25,64
12.0,44,25,64
13.0,46,25,64
14.0,42,25,64
15.0,38,25,64
16.0,37,25,64
17.0,34,25,64
18.0,41,25,64
19.0,49,25,64
20.0,38,25,64
21.0,37,25,64
22.0,36,25,64
23.0,39,25,64
24.0,40,25,64
25.0,67,25,64
26.0,79,25,64
27.0,83,25,64
28.0,69,25,64
29.0,59,25,64
30.0,36,25,64
31.0,33,25,64
32.0,39,25,64
33.0,45,25,64
34.0,48,25,64
35.0,41,25,64
36.0,42,25,64
37.0,39,25,64
38.0,40,25,64
39.0,35,25,64
40.0,37,25,64
41.0,41,25,64
42.0,44,25,64
43.0,42,25,64
44.0,36,25,64
45.0,34,25,64
46.0,35,25,64
47.0,40,25,64
48.0,53,25,64
49.0,60,25,64
50.0,60,25,64
51.0,45,25,64
52.0,38,25,64
53.0,44,25,64
54.0,42,25,64
55.0,41,25,64
56.0,45,25,64
57.0,46,25,64
58.0,38,25,64
59.0,40,25,64
60.0,59,25,64
61.0,60,25,64
62.0,57,25,64
63.0,55,25,64
64.0,42,25,64
65.0,40,25,64
66.0,40,25,64
67.0,40,25,64
68.0,35,25,64
69.0,34,25,64
70.0,33,25,64
71.0,40,25,64
72.0,44,25,64
73.0,41,25,64
74.0,39,25,64
75.0,38,25,64
76.0,38,25,64
77.0,54,25,64
78.0,55,25,64
79.0,47,25,64
80.0,45,25,64
81.0,48,25,64
82.0,38,25,64
83.0,34,25,64
84.0,34,25,64
85.0,24,25,64
86.0,32,25,64
87.0,34,25,64
88.0,32,25,64
89.0,41,25,64
90.0,36,25,64
91.0,39,25,64
92.0,33,25,64
93.0,35,25,64
94.0,37,25,64
95.0,43,25,64
96.0,41,25,64
97.0,50,25,64
98.0,51,25,64
99.0,51,25,64
100.0,42,25,64
101.0,35,25,64
102.0,32,25,64
103.0,45,25,64
104.0,41,25,64
105.0,36,25,64
106.0,36,25,64
107.0,44,25,64
108.0,41,25,64
109.0,30,25,64
110.0,43,25,64
111.0,42,25,64
112.0,42,25,64
113.0,31,25,64
114.0,41,25,64
115.0,58,25,64
116.0,52,25,64
117.0,40,25,64
118.0,45,25,64
119.0,44,25,64
120.0,41,25,64
121.0,43,25,64
122.0,70,25,64
123.0,86,25,64
124.0,95,25,64
125.0,105,25,64
126.0,85,25,64
127.0,58,25,64
128.0,51,25,64
129.0,37,25,64
130.0,39,25,64
131.0,38,25,64
132.0,35,25,64
133.0,39,25,64
134.0,42,25,64
135.0,43,25,64
136.0,50,25,64
137.0,49,25,64
138.0,56,25,64
139.0,47,25,64
140.0,39,25,64
141.0,35,25,64
142.0,25,25,64
143.0,28,25,64
144.0,24,25,64
145.0,28,25,64
146.0,40,25,64
147.0,37,25,64
148.0,48,25,64
149.0,56,25,64
150.0,70,25,64
