vehicle_num,message_size,mean_in_progress_all_time,duration_s
5,32,61.32786885245902,60.0
5,64,67.91666666666667,59.0
5,128,70.74137931034483,57.0
5,256,40.16393442622951,60.0
10,32,56.69402985074627,133.0
10,64,47.526315789473685,132.0
10,128,45.350746268656714,133.0
10,256,32.36296296296296,134.0
15,32,44.68488160291439,548.0
15,64,52.46468401486989,537.0
15,128,47.09124087591241,547.0
15,256,37.69927536231884,275.0
20,32,45.23628691983122,473.0
20,64,43.282978723404256,469.0
20,128,41.243128964059196,472.0
20,256,37.41684210526316,474.0
25,32,45.18361153262519,658.0
25,64,43.537290715372905,656.0
25,128,39.42921686746988,663.0
25,256,35.73644578313253,663.0
