id,start_time,end_time,duration,len_block_range
2,1.1,1.79,0.69,14
4,2.24,4.52,2.28,53
9,12.08,13.2,1.12,13
10,12.66,13.87,1.21,6
13,16.32,31.62,15.3,25
14,18.4,27.97,9.57,9
17,23.17,31.95,8.78,4
18,24.22,29.02,4.8,41
21,26.34,31.49,5.15,40
22,26.96,32.91,5.95,22
23,27.58,29.59,2.01,22
26,32.65,38.14,5.49,82
27,36.13,44.43,8.3,44
29,38.35,44.78,6.43,40
30,38.85,42.12,3.27,4
31,39.35,44.63,5.28,4
32,39.88,43.67,3.79,3
33,40.39,45.77,5.38,2
34,41.48,45.15,3.67,5
36,45.57,52.78,7.21,306
37,46.45,49.59,3.14,12
38,50.12,51.51,1.39,4
39,50.62,57.03,6.41,2
40,51.12,62.08,10.96,2
41,51.63,60.36,8.73,2
42,52.13,82.2,30.07,4
43,52.63,74.53,21.9,5
44,53.19,107.65,54.46,1
45,55.2,109.34,54.14,12
46,55.79,105.36,49.57,4
47,56.32,118.0,61.68,4
48,56.82,116.91,60.09,10
49,57.33,97.84,40.51,2
50,57.84,115.8,57.96,2
51,58.36,118.0,59.64,3
52,58.88,118.01,59.13,1
53,59.75,116.67,56.92,5
55,60.95,108.46,47.51,1
56,61.55,118.61,57.06,1
57,63.32,118.13,54.81,9
59,107.67,180.54,72.87,1632
60,141.41,186.31,44.9,1251
