id,start_time,end_time,duration,len_block_range
0,1717150876361,null,null,10
1,1717150876967,1717150877988,1021,38
2,1717150877846,1717150878303,457,55
3,1717150878408,1717150878660,252,39
4,1717150878976,1717150883461,4485,6
5,1717150879546,1717150883461,3915,2
6,1717150880046,1717150883812,3766,3
7,1717150881760,null,null,91
8,1717150882874,null,null,84
9,1717150883982,1717150886381,2399,86
10,1717150884613,1717150885703,1090,25
11,1717150885130,1717150886321,1191,3
12,1717150885678,1717150889268,3590,3
13,1717150886199,1717150900151,13952,7
14,1717150886746,1717150900159,13413,4
15,1717150887374,1717150897626,10252,1
16,1717150887912,null,null,1
17,1717150889278,null,null,6
18,1717150893179,null,null,198
19,1717150893998,null,null,40
20,1717150895099,1717150897397,2298,59
21,1717150895736,1717150897199,1463,11
22,1717150896252,1717150897881,1629,17
23,1717150897069,null,null,66
24,1717150900594,null,null,317
25,1717150903530,1717150905506,1976,38
26,1717150904036,1717150905606,1570,3
27,1717150904554,null,null,6
28,1717150906286,null,null,111
29,1717150907318,null,null,14
30,1717150907820,1717150908751,931,16
31,1717150908542,null,null,30
32,1717150909046,1717150910435,1389,1
33,1717150910557,1717150912282,1725,93
34,1717150911128,1717150912435,1307,5
35,1717150911646,1717150912395,749,4
36,1717150912361,1717150912521,160,67
37,1717150912973,1717150915828,2855,35
38,1717150913488,1717150915275,1787,8
39,1717150914006,null,null,4
40,1717150914554,1717150918172,3618,5
41,1717150915061,1717150916000,939,9
42,1717150915693,1717150918284,2591,73
43,1717150917147,1717150918430,1283,64
44,1717150917906,1717150918525,619,56
45,1717150918428,1717150918860,432,38
46,1717150918929,1717150919411,482,18
47,1717150919458,1717150925241,5783,5
48,1717150919985,1717150925046,5061,5
49,1717150920500,null,null,10
50,1717150921046,1717150923375,2329,7
51,1717150924270,null,null,206
52,1717150927116,null,null,128
53,1717150929473,null,null,126
54,1717150931233,1717150939838,8605,120
55,1717150933366,1717150946662,13296,11
56,1717150933926,1717150944938,11012,3
57,1717150934486,1717150946662,12176,3
58,1717150934988,null,null,3
59,1717150935514,null,null,5
60,1717150938314,1717150950049,11735,8
61,1717150947736,null,null,703
62,1717150950826,1717150956814,5988,174
63,1717150951637,1717150956078,4441,6
64,1717150952326,null,null,7
65,1717150956007,null,null,135
66,1717150957104,1717150975922,18818,165
67,1717150957830,1717150958961,1131,12
68,1717150959938,1717150969922,9984,9
69,1717150960967,1717150975278,14311,12
70,1717150962293,1717150967153,4860,9
71,1717150963641,null,null,8
72,1717150964971,null,null,9
73,1717150977071,null,null,882
74,1717151000245,null,null,763
75,1717151005248,1717151009846,4598,345
