id,start_time,end_time,duration,len_block_range
0,0.0,0.97,0.97,24
1,0.55,0.9,0.35,20
2,1.32,2.09,0.77,87
3,1.83,3.25,1.42,6
4,2.49,3.25,0.76,8
5,3.14,3.77,0.63,105
6,3.68,3.99,0.31,51
7,4.4,5.56,1.16,10
8,4.99,6.15,1.16,16
9,5.49,6.68,1.19,46
10,6.42,8.37,1.95,98
11,7.28,8.24,0.96,22
12,7.8,8.53,0.73,8
13,8.45,9.6,1.15,119
14,9.0,9.53,0.53,34
15,9.5,10.16,0.66,14
16,10.18,10.56,0.38,16
17,10.84,12.4,1.56,73
18,11.36,12.37,1.01,5
19,12.04,12.4,0.36,30
20,12.54,13.02,0.48,92
21,13.04,14.16,1.12,11
22,13.56,14.66,1.1,7
23,14.38,15.04,0.66,72
24,14.98,15.09,0.11,39
25,15.53,16.02,0.49,46
26,16.1,19.65,3.55,23
27,16.63,19.22,2.59,6
28,17.21,19.22,2.01,8
29,17.73,20.68,2.95,4
30,19.25,20.84,1.59,204
31,20.83,25.56,4.73,231
32,21.75,24.67,2.92,12
33,22.27,24.05,1.78,7
34,22.87,24.91,2.04,15
35,23.44,25.2,1.76,8
36,24.46,25.63,1.17,34
37,25.24,26.49,1.25,133
38,25.81,28.51,2.7,36
39,26.32,29.36,3.04,8
40,26.83,28.82,1.99,5
41,27.35,29.41,2.06,3
42,27.85,29.92,2.07,14
43,28.54,29.92,1.38,50
44,29.14,30.39,1.25,91
45,29.86,30.47,0.61,36
46,30.39,30.8,0.41,45
47,31.05,31.55,0.5,36
48,31.55,32.06,0.51,42
49,32.08,32.82,0.74,14
50,32.58,33.76,1.18,35
51,33.11,34.41,1.3,9
52,33.63,35.36,1.73,5
53,34.77,36.0,1.23,41
55,36.98,38.29,1.31,187
56,37.57,38.96,1.39,12
57,38.11,40.18,2.07,24
58,38.62,40.51,1.89,23
59,39.19,40.85,1.66,23
60,39.81,41.35,1.54,14
61,40.83,41.4,0.57,56
62,41.64,44.62,2.98,128
63,42.82,44.83,2.01,44
64,43.35,45.0,1.65,25
65,43.87,44.77,0.9,24
66,44.44,45.06,0.62,42
67,44.94,45.56,0.62,77
68,45.48,47.48,2.0,9
69,46.02,47.5,1.48,16
70,46.54,47.69,1.15,9
71,47.45,48.33,0.88,75
72,47.97,48.51,0.54,65
73,48.52,49.02,0.5,17
74,49.28,49.84,0.56,52
75,49.81,50.28,0.47,34
76,50.37,50.81,0.44,13
77,50.94,51.49,0.55,46
78,51.61,52.57,0.96,45
79,52.14,52.93,0.79,12
80,52.85,53.45,0.6,89
81,53.43,54.05,0.62,25
82,53.93,54.31,0.38,14
83,54.43,55.42,0.99,54
84,55.04,55.93,0.89,11
85,55.79,56.86,1.07,88
86,56.7,57.81,1.11,36
87,57.21,58.46,1.25,11
88,57.9,59.19,1.29,41
89,58.7,59.7,1.0,102
90,59.73,60.7,0.97,37
91,60.39,60.99,0.6,40
92,60.91,61.57,0.66,44
93,61.41,62.14,0.73,21
94,62.1,62.24,0.14,56
95,62.61,63.51,0.9,21
96,63.12,63.51,0.39,16
97,63.9,65.53,1.63,91
98,64.46,67.51,3.05,11
99,64.98,68.78,3.8,9
100,65.54,71.44,5.9,14
101,66.6,73.58,6.98,15
102,67.59,70.66,3.07,22
104,69.32,73.66,4.34,122
105,70.36,73.56,3.2,70
106,71.44,73.67,2.23,156
107,73.18,75.71,2.53,152
108,74.29,77.15,2.86,33
109,74.98,75.38,0.4,26
110,75.95,76.88,0.93,89
111,76.53,77.06,0.53,17
112,77.04,77.22,0.18,37
