id,start_time,end_time,duration,len_block_range,booth
121,1734911723543,1734911726225,2682,25,null
122,1734911724215,1734911725223,1008,18,null
123,1734911724746,1734911725815,1069,24,null
124,1734911725287,1734911726763,1476,18,null
125,1734911725811,1734911726806,995,24,null
126,1734911726315,1734911727799,1484,18,null
127,1734911726844,1734911728396,1552,26,null
128,1734911727436,1734911728701,1265,21,null
129,1734911728008,1734911729054,1046,13,null
130,1734911728532,1734911729165,633,25,null
131,1734911729111,1734911729670,559,25,null
132,1734911729623,1734911730251,628,16,null
133,1734911730162,1734911731169,1007,23,null
134,1734911730778,1734911731760,982,13,null
135,1734911731263,1734911732352,1089,30,null
136,1734911731778,1734911732820,1042,21,null
137,1734911732284,1734911733247,963,17,null
138,1734911732794,1734911733981,1187,22,null
139,1734911733479,1734911734367,888,33,null
140,1734911733979,1734911735169,1190,11,null
141,1734911734500,1734911736517,2017,27,null
142,1734911735014,1734911736638,1624,12,null
143,1734911735547,1734911736615,1068,24,null
144,1734911736030,1734911737339,1309,10,null
145,1734911736689,1734911737874,1185,31,null
146,1734911737238,1734911738334,1096,25,null
147,1734911737818,1734911738999,1181,13,null
148,1734911738359,1734911739774,1415,30,null
149,1734911738979,1734911740208,1229,24,null
150,1734911739461,1734911740974,1513,14,null
151,1734911739972,1734911741175,1203,26,null
152,1734911740494,1734911741569,1075,25,null
153,1734911741053,1734911742037,984,17,null
154,1734911741562,1734911742432,870,30,null
155,1734911742095,1734911742922,827,22,null
156,1734911742683,1734911743733,1050,19,null
157,1734911743204,1734911744351,1147,22,null
158,1734911743667,1734911745498,1831,14,null
159,1734911744244,1734911745547,1303,16,null
160,1734911744936,1734911746951,2015,18,null
161,1734911745412,1734911746926,1514,16,null
162,1734911745920,1734911747737,1817,42,null
163,1734911746519,1734911747835,1316,24,null
164,1734911746975,1734911748066,1091,14,null
165,1734911747490,1734911748406,916,19,null
166,1734911748001,1734911749161,1160,19,null
167,1734911748535,1734911749827,1292,29,null
168,1734911749109,1734911750165,1056,17,null
169,1734911749618,1734911750680,1062,20,null
170,1734911750213,1734911751060,847,22,null
171,1734911750782,1734911751976,1194,23,null
172,1734911751299,1734911752730,1431,25,null
173,1734911751823,1734911752786,963,14,null
174,1734911752536,1734911753802,1266,28,null
175,1734911753025,1734911754833,1808,12,null
176,1734911753579,1734911755018,1439,14,null
177,1734911754106,1734911755676,1570,23,null
178,1734911754641,1734911755488,847,26,null
179,1734911755146,1734911756451,1305,18,null
180,1734911755673,1734911756314,641,20,null
181,1734911756256,1734911757435,1179,27,null
182,1734911756683,1734911757872,1189,17,null
183,1734911757206,1734911758194,988,22,null
184,1734911757718,1734911758757,1039,22,null
185,1734911758239,1734911759622,1383,11,null
186,1734911758750,1734911760205,1455,25,null
187,1734911759280,1734911760875,1595,27,null
188,1734911759823,1734911761040,1217,16,null
189,1734911760353,1734911761643,1290,13,null
190,1734911760867,1734911762301,1434,14,null
191,1734911761388,1734911762536,1148,25,null
192,1734911761941,1734911763091,1150,26,null
193,1734911762428,1734911763447,1019,19,null
194,1734911763087,1734911763885,798,27,null
