id,start_time,end_time,duration,len_block_range,booth
551,1729580511188,1729580512510,1322,null,null
552,1729580511188,1729580512750,1562,null,null
553,1729580511188,1729580512346,1158,null,null
554,1729580511188,1729580512346,1158,null,null
555,1729580511188,1729580512470,1282,null,null
556,1729580511188,1729580512488,1300,null,null
557,1729580511272,1729580512471,1199,null,null
558,1729580511273,1729580512886,1613,null,null
559,1729580511335,1729580512742,1407,null,null
560,1729580511336,1729580512722,1386,null,null
561,1729580511344,1729580512709,1365,null,null
562,1729580511360,1729580512478,1118,null,null
563,1729580511361,1729580512494,1133,null,null
564,1729580511403,1729580512606,1203,null,null
565,1729580511403,1729580513047,1644,null,null
566,1729580511409,1729580512898,1489,null,null
567,1729580511469,1729580512734,1265,null,null
568,1729580511469,1729580512493,1024,null,null
569,1729580511480,1729580512814,1334,null,null
570,1729580511528,1729580512798,1270,null,null
571,1729580511598,1729580512955,1357,null,null
572,1729580511599,1729580512694,1095,null,null
573,1729580511644,1729580512867,1223,null,null
574,1729580511662,1729580513232,1570,null,null
575,1729580511686,1729580513046,1360,null,null
576,1729580511693,1729580513064,1371,null,null
577,1729580511694,1729580512777,1083,null,null
578,1729580511733,1729580513081,1348,null,null
579,1729580511734,1729580513227,1493,null,null
580,1729580511734,1729580513229,1495,null,null
581,1729580511734,1729580513227,1493,null,null
582,1729580511820,1729580513148,1328,null,null
583,1729580511833,1729580513340,1507,null,null
584,1729580511833,1729580513326,1493,null,null
585,1729580511970,1729580513246,1276,null,null
586,1729580511971,1729580513336,1365,null,null
587,1729580512068,1729580513217,1149,null,null
588,1729580512075,1729580513308,1233,null,null
589,1729580512081,1729580513453,1372,null,null
590,1729580512129,1729580513237,1108,null,null
591,1729580512147,1729580513331,1184,null,null
592,1729580512198,1729580513591,1393,null,null
593,1729580512202,1729580513568,1366,null,null
594,1729580512203,1729580513473,1270,null,null
595,1729580512282,1729580513392,1110,null,null
596,1729580512286,1729580513636,1350,null,null
597,1729580512327,1729580513416,1089,null,null
598,1729580512328,1729580513915,1587,null,null
599,1729580512328,1729580514077,1749,null,null
600,1729580512328,1729580513925,1597,null,null
601,1729580512420,1729580513780,1360,null,null
602,1729580512420,1729580513530,1110,null,null
603,1729580512494,1729580514091,1597,null,null
604,1729580512498,1729580513912,1414,null,null
605,1729580512506,1729580514096,1590,null,null
606,1729580512506,1729580513932,1426,null,null
607,1729580512510,1729580513802,1292,null,null
608,1729580512544,1729580514097,1553,null,null
609,1729580512545,1729580514060,1515,null,null
610,1729580512545,1729580513595,1050,null,null
611,1729580512625,1729580513788,1163,null,null
612,1729580512626,1729580514095,1469,null,null
613,1729580512626,1729580513601,975,null,null
614,1729580512684,1729580514028,1344,null,null
615,1729580512684,1729580513772,1088,null,null
616,1729580512684,1729580513901,1217,null,null
617,1729580512769,1729580514089,1320,null,null
618,1729580512770,1729580514065,1295,null,null
619,1729580512770,1729580514411,1641,null,null
620,1729580512860,1729580514191,1331,null,null
621,1729580512863,1729580514060,1197,null,null
622,1729580512864,1729580513814,950,null,null
623,1729580512975,1729580514124,1149,null,null
624,1729580512975,1729580514358,1383,null,null
625,1729580512975,1729580514163,1188,null,null
626,1729580513032,1729580514380,1348,null,null
627,1729580513120,1729580514508,1388,null,null
628,1729580513121,1729580514182,1061,null,null
629,1729580513121,1729580514662,1541,null,null
630,1729580513193,1729580514556,1363,null,null
631,1729580513195,1729580514444,1249,null,null
632,1729580513256,1729580514564,1308,null,null
633,1729580513261,1729580514591,1330,null,null
634,1729580513262,1729580514389,1127,null,null
635,1729580513325,1729580514361,1036,null,null
636,1729580513325,1729580514401,1076,null,null
637,1729580513325,1729580514464,1139,null,null
638,1729580513382,1729580514686,1304,null,null
639,1729580513383,1729580514759,1376,null,null
640,1729580513387,1729580514451,1064,null,null
641,1729580513437,1729580514766,1329,null,null
642,1729580513439,1729580514561,1122,null,null
643,1729580513440,1729580514697,1257,null,null
644,1729580513441,1729580514769,1328,null,null
645,1729580513538,1729580514687,1149,null,null
646,1729580513539,1729580514923,1384,null,null
647,1729580513617,1729580515150,1533,null,null
648,1729580513675,1729580514878,1203,null,null
649,1729580513676,1729580514838,1162,null,null
650,1729580513755,1729580514919,1164,null,null
651,1729580513756,1729580515014,1258,null,null
652,1729580513833,1729580514924,1091,null,null
653,1729580513834,1729580514922,1088,null,null
654,1729580513834,1729580514900,1066,null,null
655,1729580513889,1729580514754,865,null,null
656,1729580513932,1729580515217,1285,null,null
657,1729580513932,1729580515237,1305,null,null
658,1729580513932,1729580515017,1085,null,null
659,1729580514002,1729580514925,923,null,null
660,1729580514003,1729580515397,1394,null,null
661,1729580514073,1729580515221,1148,null,null
662,1729580514074,1729580515156,1082,null,null
663,1729580514074,1729580515189,1115,null,null
664,1729580514128,1729580515407,1279,null,null
665,1729580514139,1729580515452,1313,null,null
666,1729580514158,1729580515284,1126,null,null
667,1729580514201,1729580515467,1266,null,null
668,1729580514210,1729580515208,998,null,null
669,1729580514215,1729580515712,1497,null,null
670,1729580514215,1729580515270,1055,null,null
671,1729580514216,1729580515427,1211,null,null
672,1729580514261,1729580515294,1033,null,null
673,1729580514263,1729580515600,1337,null,null
674,1729580514264,1729580515751,1487,null,null
675,1729580514369,1729580515722,1353,null,null
676,1729580514370,1729580515728,1358,null,null
677,1729580514370,1729580515458,1088,null,null
678,1729580514511,1729580515550,1039,null,null
679,1729580514511,1729580515677,1166,null,null
680,1729580514511,1729580515746,1235,null,null
681,1729580514565,1729580515754,1189,null,null
682,1729580514571,1729580515887,1316,null,null
