id,start_time,end_time,duration,len_block_range
0,1714880890590,1714880892781,2191,125
1,1714880891324,1714880892865,1541,74
2,1714880892473,1714880894054,1581,179
3,1714880893309,1714880894271,962,73
4,1714880894086,1714880895008,922,78
5,1714880894786,1714880896392,1606,78
6,1714880895371,1714880896494,1123,47
7,1714880895887,1714880899922,4035,139
8,1714880896467,1714880897129,662,35
9,1714880896987,1714880899891,2904,28
10,1714880897502,1714880899922,2420,41
11,1714880898522,null,null,520
12,1714880899953,1714880910538,10585,453
13,1714880901995,1714880904029,2034,13
14,1714880902497,1714880910530,8033,17
15,1714880904025,1714880910530,6505,103
16,1714880904593,1714880911407,6814,39
17,1714880909434,1714880918436,9002,1352
18,1714880911655,1714880916840,5185,503
19,1714880916721,1714880918452,1731,1
20,1714880918722,1714880932335,13613,49
21,1714880919266,1714880932699,13433,45
22,1714880932335,1714880936300,3965,1929
23,1714880933987,1714880936504,2517,176
24,1714880935833,1714880936645,812,317
25,1714880936603,1714880939361,2758,59
26,1714880937106,1714880946198,9092,3
27,1714880937611,1714880947221,9610,25
28,1714880944726,1714880960250,15524,1219
29,1714880947311,1714880951565,4254,751
30,1714880950877,1714880952985,2108,10
31,1714880951387,1714880952829,1442,43
32,1714880953389,1714880954476,1087,11
33,1714880954013,1714880954903,890,25
34,1714880956014,1714880962549,6535,15
35,1714880958547,null,null,290
36,1714880961852,1714880969260,7408,934
37,1714880962807,1714880966090,3283,201
