id,start_time,end_time,duration,len_block_range,booth
0,1730573275147,1730573276038,891,68,"2, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
1,1730573275808,1730573276997,1189,28,"2, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
2,1730573276379,1730573277276,897,23,"2, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
3,1730573276932,1730573278197,1265,21,"2, 46, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
4,1730573277461,1730573278653,1192,29,"2, 46, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
5,1730573277986,1730573279224,1238,19,"2, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
6,1730573278553,1730573279736,1183,19,"2, 48, 50, 52, 54, 56, 58, 60, 62, 69, 71, 73, 75, 77, 79"
7,1730573279069,1730573279745,676,16,"2, 48, 50, 52, 54, 56, 58, 60, 62, 71, 73, 75, 77, 79"
8,1730573279627,1730573280446,819,36,"2, 48, 50, 52, 54, 56, 58, 60, 62, 71, 73, 75, 77, 79"
9,1730573280138,1730573280894,756,11,"2, 50, 52, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81"
10,1730573280813,1730573281917,1104,34,"2, 52, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81"
11,1730573281325,1730573281995,670,26,"2, 52, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81"
12,1730573281866,1730573282798,932,34,"2, 52, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81"
13,1730573282445,1730573283083,638,42,"2, 52, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81"
14,1730573282950,1730573283315,365,30,"2, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81, 83"
15,1730573283485,1730573284255,770,28,"2, 54, 56, 58, 60, 62, 64, 71, 73, 75, 77, 79, 81, 83"
16,1730573283995,1730573284461,466,33,"2, 54, 56, 58, 60, 62, 64, 73, 75, 77, 79, 81, 83"
17,1730573284507,1730573285388,881,39,"2, 54, 56, 58, 60, 62, 64, 73, 75, 77, 79, 81, 83"
18,1730573285010,1730573285764,754,19,"2, 54, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
19,1730573285517,1730573286134,617,33,"2, 54, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
20,1730573286019,1730573286558,539,24,"2, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
21,1730573286573,1730573287330,757,31,"2, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
22,1730573287100,1730573287899,799,37,"2, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
23,1730573287627,1730573288726,1099,21,"2, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
24,1730573288130,1730573289033,903,29,"2, 56, 58, 60, 62, 64, 66, 73, 75, 77, 79, 81, 83"
25,1730573288816,1730573289504,688,37,"2, 56, 58, 60, 62, 64, 66, 75, 77, 79, 81, 83, 85"
26,1730573289323,1730573289955,632,29,"2, 56, 58, 60, 62, 64, 66, 75, 77, 79, 81, 83, 85"
27,1730573289853,1730573290435,582,27,"2, 56, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
28,1730573290403,1730573291045,642,37,"2, 56, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
29,1730573290906,1730573291916,1010,21,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
30,1730573291496,1730573292019,523,38,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
31,1730573292006,1730573292845,839,29,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
32,1730573292524,1730573293436,912,39,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
33,1730573293059,1730573293555,496,29,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
34,1730573293570,1730573294112,542,29,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85"
35,1730573294101,1730573294458,357,29,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85, 87"
36,1730573294642,1730573295101,459,34,"2, 58, 60, 62, 64, 66, 68, 75, 77, 79, 81, 83, 85, 87"
37,1730573295177,1730573296083,906,35,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
38,1730573295717,1730573296734,1017,29,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
39,1730573296273,1730573297246,973,28,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
40,1730573296777,1730573297412,635,18,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
41,1730573297304,1730573297861,557,30,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
42,1730573297820,1730573298613,793,23,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
43,1730573298434,1730573299093,659,48,"2, 60, 62, 64, 66, 68, 70, 77, 79, 81, 83, 85, 87"
44,1730573298979,1730573299657,678,32,"2, 60, 62, 64, 66, 68, 70, 79, 81, 83, 85, 87, 89"
45,1730573299517,1730573300013,496,40,"2, 60, 62, 64, 66, 68, 70, 79, 81, 83, 85, 87, 89"
46,1730573300030,1730573300742,712,27,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89"
47,1730573300549,1730573301508,959,25,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89"
48,1730573301056,1730573301751,695,32,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89"
49,1730573301607,1730573302257,650,36,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89"
50,1730573302119,1730573302714,595,28,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89"
51,1730573302833,1730573303492,659,48,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89, 91"
52,1730573303380,1730573304316,936,33,"2, 62, 64, 66, 68, 70, 72, 79, 81, 83, 85, 87, 89, 91"
53,1730573303890,1730573305084,1194,25,"2, 62, 64, 66, 68, 70, 72, 81, 83, 85, 87, 89, 91"
54,1730573304465,1730573305275,810,24,"2, 62, 64, 66, 68, 70, 72, 81, 83, 85, 87, 89, 91"
55,1730573304983,1730573305608,625,31,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
56,1730573305501,1730573306121,620,20,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
57,1730573306033,1730573306888,855,32,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
58,1730573306545,1730573307159,614,39,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
59,1730573307049,1730573307683,634,28,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
60,1730573307583,1730573308272,689,38,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
61,1730573308200,1730573308519,319,37,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91"
62,1730573308729,1730573309178,449,28,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91, 93"
63,1730573309234,1730573309848,614,30,"2, 64, 66, 68, 70, 72, 74, 81, 83, 85, 87, 89, 91, 93"
64,1730573309764,1730573310511,747,21,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
65,1730573310269,1730573311195,926,41,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
66,1730573310791,1730573311664,873,14,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
67,1730573311315,1730573312545,1230,33,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
68,1730573311824,1730573312756,932,25,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
69,1730573312377,1730573313349,972,24,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
70,1730573312885,1730573313350,465,18,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
71,1730573313451,1730573314280,829,45,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93"
72,1730573313981,1730573314685,704,14,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93, 95"
73,1730573314496,1730573315781,1285,10,"2, 66, 68, 70, 72, 74, 76, 81, 83, 85, 87, 89, 91, 93, 95"
74,1730573314999,1730573316154,1155,31,"2, 68, 70, 72, 74, 76, 78, 81, 83, 85, 87, 89, 91, 93, 95"
