id,start_time,end_time,duration,len_block_range,booth
0,1734554534976,1734554535412,436,32,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
1,1734554535490,1734554536194,704,33,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
2,1734554536001,1734554536597,596,48,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
3,1734554536515,1734554538234,1719,25,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
4,1734554537017,1734554538194,1177,18,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
5,1734554537520,1734554538686,1166,42,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
6,1734554538027,1734554538686,659,49,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
7,1734554538540,1734554539336,796,43,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
8,1734554539072,1734554539533,461,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
9,1734554539577,1734554540352,775,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
10,1734554540116,1734554540980,864,28,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
11,1734554540650,1734554541369,719,47,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
12,1734554541172,1734554541595,423,39,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
13,1734554541699,1734554542268,569,53,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
14,1734554542216,1734554543383,1167,44,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
15,1734554542736,1734554543540,804,12,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
16,1734554543251,1734554543654,403,41,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
17,1734554543775,1734554545194,1419,85,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
18,1734554544286,1734554545443,1157,18,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
19,1734554544792,1734554545649,857,17,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
20,1734554545305,1734554546394,1089,41,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
21,1734554545841,1734554546547,706,56,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
22,1734554546363,1734554546919,556,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
23,1734554546882,1734554547653,771,37,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
24,1734554547448,1734554548190,742,47,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
25,1734554547955,1734554548882,927,38,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
26,1734554548474,1734554549127,653,45,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
27,1734554548986,1734554549625,639,37,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
28,1734554549532,1734554550100,568,47,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
29,1734554550043,1734554550721,678,30,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
30,1734554550565,1734554551150,585,46,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
31,1734554551115,1734554551596,481,39,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
32,1734554551661,1734554552091,430,42,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
33,1734554552168,1734554552722,554,36,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
34,1734554552705,1734554553440,735,43,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
35,1734554553234,1734554554048,814,41,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
36,1734554553748,1734554554441,693,37,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
37,1734554554256,1734554554811,555,45,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
38,1734554554826,1734554555600,774,34,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
39,1734554555342,1734554555892,550,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
40,1734554555850,1734554556483,633,39,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
41,1734554556379,1734554557077,698,29,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
42,1734554556990,1734554557723,733,67,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
43,1734554557515,1734554558381,866,23,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
44,1734554558035,1734554558492,457,49,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
45,1734554558616,1734554558881,265,49,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
46,1734554559129,1734554559613,484,32,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
47,1734554559662,1734554560158,496,36,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
48,1734554560218,1734554560567,349,48,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
49,1734554560729,1734554561091,362,39,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
50,1734554561256,1734554561665,409,39,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
51,1734554561757,1734554562268,511,35,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
52,1734554562259,1734554562745,486,46,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
53,1734554562792,1734554563618,826,41,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
54,1734554563297,1734554564217,920,24,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
55,1734554563804,1734554564841,1037,53,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
56,1734554564332,1734554564843,511,38,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
57,1734554564837,1734554565543,706,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
58,1734554565358,1734554565813,455,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
59,1734554565860,1734554566430,570,41,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
60,1734554566372,1734554567096,724,33,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
61,1734554566885,1734554567634,749,48,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
62,1734554567398,1734554567831,433,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
63,1734554567903,1734554568371,468,35,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
64,1734554568406,1734554569056,650,43,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
65,1734554568917,1734554569550,633,38,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
66,1734554569444,1734554570011,567,40,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
67,1734554569968,1734554570582,614,38,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
68,1734554570505,1734554570943,438,48,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
69,1734554571007,1734554571671,664,33,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
70,1734554571519,1734554572531,1012,45,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
71,1734554572104,1734554572759,655,43,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
72,1734554572616,1734554573158,542,33,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
73,1734554573131,1734554573822,691,45,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
74,1734554573659,1734554574315,656,32,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
75,1734554574199,1734554575033,834,48,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
76,1734554574716,1734554575489,773,46,"1, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12"
