id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,booth
0,1737810952394,1737810952395,1737810952506,1737810952777,383,92,"1, 3, 4, 5, 6, 7"
1,1737810952908,1737810953187,1737810953283,1737810953413,505,54,"1, 3, 4, 5, 6, 7"
2,1737810953688,1737810953689,1737810953903,1737810954779,1091,147,"1, 3, 4, 5, 6, 7"
3,1737810954205,1737810954270,1737810954348,1737810954553,348,40,"1, 3, 4, 5, 6, 7"
4,1737810954777,1737810954778,1737810954882,1737810954996,219,126,"1, 3, 4, 5, 6, 7"
5,1737810955287,1737810955288,1737810955365,1737810955508,221,90,"1, 3, 4, 5, 6, 7"
6,1737810955818,1737810955819,1737810955881,1737810956017,199,89,"1, 3, 4, 5, 6, 7"
7,1737810956330,1737810956330,1737810956368,1737810956663,333,81,"1, 3, 4, 5, 6, 7"
8,1737810956846,1737810956847,1737810956880,1737810957035,189,91,"1, 3, 4, 5, 6, 7"
9,1737810957352,1737810957353,1737810957416,1737810957524,172,75,"1, 3, 4, 5, 6, 7"
10,1737810957870,1737810957871,1737810957930,1737810958173,303,100,"1, 3, 4, 5, 6, 7"
11,1737810958386,1737810958407,1737810958484,1737810958665,279,81,"1, 3, 4, 5, 6, 7"
12,1737810958935,1737810958936,1737810958995,1737810959230,295,98,"1, 3, 4, 5, 6, 7"
13,1737810959442,1737810959443,1737810959475,1737810959825,383,78,"1, 3, 4, 5, 6, 7"
14,1737810959976,1737810959977,1737810960024,1737810960282,306,93,"1, 3, 4, 5, 6, 7"
15,1737810960485,1737810960485,1737810960554,1737810960740,255,76,"1, 3, 4, 5, 6, 7"
16,1737810961002,1737810961003,1737810961059,1737810961240,238,94,"1, 3, 4, 5, 6, 7"
17,1737810961525,1737810961600,1737810961631,1737810961799,274,90,"1, 3, 4, 5, 6, 7"
18,1737810962110,1737810962111,1737810962152,1737810962271,161,102,"1, 3, 4, 5, 6, 7"
19,1737810962621,1737810962648,1737810962693,1737810962810,189,83,"1, 3, 4, 5, 6, 7"
20,1737810963167,1737810963181,1737810963227,1737810963476,309,92,"1, 3, 4, 5, 6, 7"
21,1737810963689,1737810963697,1737810963760,1737810963871,182,91,"1, 3, 4, 5, 6, 7"
22,1737810964205,1737810964206,1737810964245,1737810964425,220,83,"1, 3, 4, 5, 6, 7"
23,1737810964723,1737810964724,1737810964769,1737810964874,151,84,"1, 3, 4, 5, 6, 7"
24,1737810965234,1737810965235,1737810965271,1737810965466,232,90,"1, 3, 4, 5, 6, 7"
25,1737810965743,1737810965744,1737810965798,1737810965864,121,89,"1, 3, 4, 5, 6, 7"
26,1737810966304,1737810966312,1737810966371,1737810966590,286,97,"1, 3, 4, 5, 6, 7"
27,1737810966831,1737810966870,1737810966922,1737810967118,287,89,"1, 3, 4, 5, 6, 7"
28,1737810967385,1737810967386,1737810967420,1737810967558,173,95,"1, 3, 4, 5, 6, 7"
29,1737810967888,1737810967889,1737810967948,1737810968055,167,89,"1, 3, 4, 5, 6, 7"
30,1737810968391,1737810968401,1737810968454,1737810968513,122,76,"1, 3, 4, 5, 6, 7"
31,1737810968903,1737810968904,1737810968989,1737810969299,396,84,"1, 3, 4, 5, 6, 7"
32,1737810969405,1737810969409,1737810969450,1737810969620,215,92,"1, 3, 4, 5, 6, 7"
33,1737810969910,1737810969918,1737810969955,1737810970107,197,88,"1, 3, 4, 5, 6, 7"
34,1737810970438,1737810970521,1737810970551,1737810970608,170,84,"1, 3, 4, 5, 6, 7"
35,1737810971048,1737810971054,1737810971107,1737810971273,225,92,"1, 3, 4, 5, 6, 7"
36,1737810971577,1737810971578,1737810971634,1737810971740,163,86,"1, 3, 4, 5, 6, 7"
37,1737810972078,1737810972091,1737810972159,1737810972193,115,79,"1, 3, 4, 5, 6, 7"
