id,start_time,end_time,duration,len_block_range,booth
0,1756847164374,null,null,46,"0, 58, 59, 62, 64, 68, 77, 81, 82, 83, 88, 90, 93, 95, 99, 101, 102, 106, 107"
1,1756847170992,null,null,1,"0, 65, 66, 71, 75, 76, 77, 81, 83, 85, 86, 90, 91, 97, 98, 99, 101, 105"
2,1756847183541,1756847184179,638,72,"0, 82, 84, 88, 92, 94, 98, 99, 100, 102, 107, 110, 111, 112"
3,1756847184049,null,null,40,"0, 83, 84, 87, 88, 92, 93, 95, 96, 99, 104, 107, 108, 113"
4,1756847184581,null,null,24,"0, 83, 84, 87, 88, 92, 93, 95, 96, 99, 104, 107, 108, 113"
5,1756847185094,1756847186016,922,13,"0, 86, 90, 100, 101, 103, 104, 106, 107, 108, 109, 110, 114, 118"
6,1756847185606,1756847186154,548,50,"0, 86, 90, 100, 101, 103, 104, 106, 107, 108, 109, 110, 114, 118"
7,1756847186114,null,null,69,"0, 88, 93, 95, 101, 102, 103, 104, 106, 109, 110, 113, 115, 118"
8,1756847186637,null,null,5,"0, 88, 93, 95, 101, 102, 103, 104, 106, 109, 110, 113, 115, 118"
9,1756847187142,1756847187594,452,44,"0, 85, 92, 94, 95, 96, 100, 101, 102, 108, 110, 111, 112, 117"
10,1756847187821,1756847188287,466,56,"0, 85, 92, 94, 95, 96, 100, 101, 102, 108, 110, 111, 112, 117"
11,1756847188321,null,null,2,"0, 81, 83, 84, 85, 92, 93, 94, 95, 107, 108, 109, 110, 112"
