id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,bypass_com_num,all_com_num,booth
0,1757039881849,null,null,1757039882861,1012,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
1,1757039881851,null,null,1757039882809,958,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
2,1757039881865,null,null,1757039883082,1217,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
3,1757039881866,null,null,1757039882861,995,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
4,1757039881875,null,null,1757039883331,1456,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
5,1757039881877,null,null,1757039882861,984,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
6,1757039881898,null,null,1757039882861,963,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
7,1757039881900,null,null,1757039882861,961,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
8,1757039881926,null,null,1757039882862,936,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
9,1757039881928,null,null,1757039882817,889,null,45,78,"0, 4, 6, 7, 8, 10, 11, 14, 15, 20, 23, 38, 39, 45, 48, 55, 61, 63, 64, 69, 70, 71, 72, 73, 74, 77, 78"
