id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,bypass_com_num,all_com_num,booth
0,1757041490827,1757041490827,1757041490992,1757041493355,2528,26,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
1,1757041491356,1757041491400,1757041491596,1757041493154,1798,14,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
2,1757041492031,1757041492059,1757041492233,1757041494316,2285,13,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
3,1757041492630,1757041492630,1757041492894,1757041495365,2735,12,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
4,1757041493148,1757041493149,1757041493575,1757041495160,2012,14,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
5,1757041493734,1757041493735,1757041493935,1757041495154,1420,8,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
6,1757041494253,1757041494287,1757041494613,1757041496395,2142,10,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
7,1757041494789,1757041494789,1757041494946,1757041496287,1498,12,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
8,1757041495367,1757041495387,1757041495677,1757041497055,1688,13,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
9,1757041495917,1757041495917,1757041496050,1757041497546,1629,9,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
10,1757041496461,1757041496486,1757041496924,1757041499025,2564,14,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
11,1757041497276,1757041497276,1757041497498,1757041498973,1697,12,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
12,1757041497837,1757041497838,1757041497964,1757041498860,1023,11,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
13,1757041498339,1757041498339,1757041498521,1757041500256,1917,6,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
14,1757041498867,1757041498867,1757041499119,1757041500281,1414,15,39,75,"2, 9, 12, 16, 18, 19, 22, 25, 27, 29, 30, 31, 32, 33, 35, 36, 37, 42, 43, 44, 46, 47, 50, 53, 56, 66"
15,1757041499549,1757041499549,1757041500879,1757041502696,3147,11,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
16,1757041500241,1757041500242,1757041503149,1757041505070,4829,20,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
17,1757041501360,1757041501360,1757041501765,1757041503225,1865,12,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
18,1757041501939,1757041501939,1757041502137,1757041503923,1984,5,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
19,1757041502499,1757041502512,1757041502659,1757041504043,1544,8,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
20,1757041503014,1757041503014,1757041503193,1757041504779,1765,7,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
21,1757041503569,1757041503569,1757041503727,1757041505221,1652,7,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
22,1757041504101,1757041504101,1757041504316,1757041506244,2143,12,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
23,1757041504649,1757041504649,1757041504836,1757041506538,1889,8,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
24,1757041505179,1757041505201,1757041505505,1757041508200,3021,7,60,78,"2, 3, 4, 5, 11, 13, 14, 19, 23, 25, 27, 31, 37, 41, 46, 49, 50, 53, 55, 56, 60, 65, 67, 68, 74, 76, 82"
