id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,bypass_com_num,all_com_num,booth
0,1757000060438,null,null,1757000061298,860,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
1,1757000060447,null,null,1757000061470,1023,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
2,1757000060451,null,null,1757000061157,706,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
3,1757000060468,null,null,1757000061725,1257,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
4,1757000060470,null,null,1757000061513,1043,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
5,1757000060482,null,null,1757000061349,867,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
6,1757000060498,null,null,1757000061300,802,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
7,1757000060511,null,null,1757000061515,1004,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
8,1757000060513,null,null,1757000060822,309,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
9,1757000060560,null,null,1757000061386,826,null,36,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
10,1757000060562,null,null,1757000061852,1290,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
11,1757000060600,null,null,1757000061601,1001,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
12,1757000060628,null,null,1757000061516,888,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
13,1757000060651,null,null,1757000061561,910,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
14,1757000060654,null,null,1757000062415,1761,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
15,1757000060656,null,null,1757000061549,893,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
16,1757000060689,null,null,1757000061517,828,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
17,1757000060691,null,null,1757000061557,866,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
18,1757000060734,null,null,1757000061876,1142,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
19,1757000060753,null,null,1757000062219,1466,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
20,1757000060755,null,null,1757000062246,1491,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
21,1757000060789,null,null,1757000062529,1740,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
22,1757000060791,null,null,1757000062004,1213,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
23,1757000060793,null,null,1757000061516,723,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
24,1757000060849,null,null,1757000062200,1351,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
25,1757000060902,null,null,1757000062529,1627,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
26,1757000060914,null,null,1757000062246,1332,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
27,1757000060961,null,null,1757000062034,1073,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
28,1757000061003,null,null,1757000062702,1699,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
29,1757000061022,null,null,1757000062058,1036,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
30,1757000061064,null,null,1757000062879,1815,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
31,1757000061094,null,null,1757000063210,2116,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
32,1757000061158,null,null,1757000062982,1824,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
33,1757000061184,null,null,1757000062862,1678,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
34,1757000061274,null,null,1757000063210,1936,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
35,1757000061276,null,null,1757000063210,1934,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
36,1757000061330,null,null,1757000063754,2424,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
37,1757000061377,null,null,1757000063209,1832,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
38,1757000061417,null,null,1757000063755,2338,null,35,75,"2, 4, 11, 15, 18, 20, 21, 23, 26, 28, 30, 31, 32, 36, 37, 46, 48, 49, 50, 52, 58, 62, 64, 67, 74, 78"
39,1757000061516,null,null,1757000064887,3371,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
40,1757000061599,null,null,1757000063880,2281,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
41,1757000061601,null,null,1757000063878,2277,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
42,1757000061712,null,null,1757000063252,1540,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
43,1757000061714,null,null,1757000063604,1890,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
44,1757000061762,null,null,1757000063753,1991,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
45,1757000061896,null,null,1757000064552,2656,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
46,1757000061907,null,null,1757000064574,2667,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
47,1757000061930,null,null,1757000064117,2187,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
48,1757000062027,null,null,1757000064296,2269,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
49,1757000062059,null,null,1757000064551,2492,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
50,1757000062184,null,null,1757000064945,2761,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
51,1757000062223,null,null,1757000064574,2351,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
52,1757000062248,null,null,1757000065014,2766,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
53,1757000062249,null,null,1757000064571,2322,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
54,1757000062360,null,null,1757000064296,1936,null,54,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
55,1757000062362,null,null,1757000064571,2209,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
56,1757000062490,null,null,1757000064945,2455,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
57,1757000062524,null,null,1757000064946,2422,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
58,1757000062606,null,null,1757000065056,2450,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
59,1757000062608,null,null,1757000064551,1943,null,53,78,"2, 4, 15, 19, 21, 26, 27, 29, 30, 31, 35, 38, 39, 41, 44, 45, 48, 55, 57, 60, 61, 65, 66, 72, 74, 77, 79"
