id,start_time,end_time,duration,len_block_range,booth
0,56499,null,null,29,"2, 32, 34, 43, 46, 51, 52, 54, 56, 60, 64, 66, 68, 71, 72, 73, 77, 80, 81, 83, 94, 99, 100, 101"
1,57005,null,null,8,"2, 35, 36, 40, 41, 43, 50, 53, 58, 59, 61, 63, 64, 65, 66, 68, 70, 72, 77, 87, 89, 92, 95, 99"
2,57511,null,null,9,"2, 35, 36, 40, 41, 43, 50, 53, 58, 59, 61, 63, 64, 65, 66, 68, 70, 72, 77, 87, 89, 92, 95, 99"
3,82650,null,null,1,"2, 65, 69, 75, 82, 84, 85, 87, 88, 94, 95, 97, 98, 100, 102, 107, 111"
4,87707,92234,4527,64,"2, 75, 76, 78, 86, 87, 89, 91, 95, 97, 103, 107, 108, 109, 112"
5,88447,91114,2667,23,"2, 75, 76, 78, 86, 87, 89, 91, 95, 97, 103, 107, 108, 109, 112"
6,89028,null,null,42,"2, 75, 76, 79, 83, 87, 91, 98, 102, 104, 106, 109, 111, 112, 113"
7,92629,null,null,99,"2, 79, 82, 83, 88, 91, 96, 100, 103, 105, 108, 110, 114, 116"
8,94650,null,null,82,"2, 86, 89, 90, 91, 98, 102, 103, 105, 106, 110, 112, 115"
9,191875,193396,1521,3,"2, 85, 86, 87, 90, 92, 94, 95, 100, 103, 106, 108, 110, 116, 118, 119, 124, 126, 130, 132, 136, 145, 147, 150, 152, 155"
10,192437,193747,1310,23,"2, 85, 86, 87, 90, 92, 94, 95, 100, 103, 106, 108, 110, 116, 118, 119, 124, 126, 130, 132, 136, 145, 147, 150, 152, 155"
11,192940,null,null,13,"2, 87, 89, 93, 98, 99, 100, 105, 108, 109, 111, 116, 119, 121, 125, 127, 128, 137, 138, 139, 140, 144, 146, 149, 151, 156"
12,193444,null,null,9,"2, 87, 89, 93, 98, 99, 100, 105, 108, 109, 111, 116, 119, 121, 125, 127, 128, 137, 138, 139, 140, 144, 146, 149, 151, 156"
13,193946,null,null,1,"2, 81, 82, 84, 91, 92, 93, 99, 100, 103, 107, 110, 111, 115, 117, 119, 123, 124, 131, 137, 146, 149, 150, 151, 152, 154"
14,281112,null,null,101,"2, 147, 151, 154, 157, 158, 162, 163, 167, 168, 172, 174, 182, 184, 189, 191"
15,281731,null,null,12,"2, 149, 151, 153, 159, 160, 161, 163, 166, 168, 173, 174, 176, 177, 192"
16,291264,null,null,1,"2, 161, 165, 167, 168, 173, 174, 177, 179, 186, 190, 192, 196"
