id,start_time,end_time,duration,len_block_range,booth
0,1756762190011,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
1,1756762190012,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
2,1756762190013,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
3,1756762190013,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
4,1756762190023,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
5,1756762190024,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
6,1756762190025,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
7,1756762190025,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
8,1756762190026,null,null,null,"2, 6, 9, 11, 13, 15, 17, 18, 24, 27, 30, 35, 37, 41, 47, 48, 53, 56, 57, 58, 61, 64, 67, 71, 77, 78"
9,1756762190069,null,null,null,"2, 5, 9, 10, 13, 14, 18, 20, 27, 28, 29, 32, 41, 42, 44, 45, 48, 58, 59, 60, 61, 65, 69, 72, 73, 76"
10,1756762190087,null,null,null,"2, 4, 6, 7, 8, 9, 13, 18, 30, 32, 34, 36, 40, 41, 42, 43, 48, 55, 57, 58, 62, 65, 68, 69, 74, 78, 80"
11,1756762190088,null,null,null,"2, 4, 6, 7, 8, 9, 13, 18, 30, 32, 34, 36, 40, 41, 42, 43, 48, 55, 57, 58, 62, 65, 68, 69, 74, 78, 80"
12,1756762190089,null,null,null,"2, 4, 6, 7, 8, 9, 13, 18, 30, 32, 34, 36, 40, 41, 42, 43, 48, 55, 57, 58, 62, 65, 68, 69, 74, 78, 80"
