id,start_time,end_time,duration,len_block_range,booth
0,1730993821186,1730993823392,2206,4,"0, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78"
1,1730993821765,1730993824725,2960,3,"0, 42, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
2,1730993822340,1730993824371,2031,17,"0, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
3,1730993822847,1730993824787,1940,8,"0, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
4,1730993823389,1730993824901,1512,4,"0, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
5,1730993823907,1730993826216,2309,7,"0, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
6,1730993824414,1730993826351,1937,10,"0, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
7,1730993825181,1730993826512,1331,19,"0, 44, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
8,1730993825913,1730993828204,2291,31,"0, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
9,1730993826528,1730993828767,2239,19,"0, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
10,1730993827038,1730993830181,3143,6,"0, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
11,1730993827542,1730993829922,2380,3,"0, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
12,1730993828044,1730993830343,2299,6,"0, 46, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
13,1730993828548,1730993830143,1595,8,"0, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
14,1730993829143,1730993831402,2259,19,"0, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
15,1730993829738,1730993832090,2352,25,"0, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
16,1730993830251,1730993831713,1462,13,"0, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
17,1730993830790,1730993832252,1462,20,"0, 48, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
18,1730993831678,1730993832637,959,17,"0, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
19,1730993832197,1730993833247,1050,17,"0, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
20,1730993832751,1730993833489,738,16,"0, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80"
21,1730993833417,1730993833918,501,22,"0, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82"
22,1730993833976,1730993835296,1320,15,"0, 50, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82"
23,1730993834531,1730993835881,1350,7,"0, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82"
24,1730993835043,1730993836394,1351,16,"0, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82"
25,1730993835582,1730993836573,991,17,"0, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82"
26,1730993836129,1730993837452,1323,17,"0, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82"
27,1730993836693,1730993837748,1055,19,"0, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84"
28,1730993837209,1730993838760,1551,14,"0, 52, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84"
29,1730993837764,1730993838623,859,19,"0, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84"
30,1730993838529,1730993839461,932,21,"0, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
31,1730993839062,1730993840127,1065,7,"0, 54, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
32,1730993839585,1730993841376,1791,26,"0, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
33,1730993840086,1730993841133,1047,10,"0, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
34,1730993840609,1730993841990,1381,11,"0, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
35,1730993841113,1730993842306,1193,11,"0, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
36,1730993841697,1730993843038,1341,24,"0, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
37,1730993842238,1730993843425,1187,18,"0, 56, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86"
38,1730993842765,1730993844169,1404,14,"0, 3, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
39,1730993843274,1730993844844,1570,7,"0, 3, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
40,1730993843848,1730993846153,2305,18,"0, 3, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
41,1730993844352,1730993846583,2231,12,"0, 3, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
42,1730993844859,1730993846817,1958,13,"0, 3, 58, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
43,1730993845437,1730993846803,1366,9,"0, 3, 5, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
44,1730993845948,1730993848049,2101,16,"0, 3, 5, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88"
45,1730993846603,1730993848417,1814,13,"0, 3, 5, 60, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
46,1730993847373,1730993849783,2410,25,"0, 3, 5, 7, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
47,1730993848056,1730993850105,2049,15,"0, 3, 5, 7, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
48,1730993848563,1730993850973,2410,11,"0, 3, 5, 7, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
49,1730993849071,1730993851089,2018,8,"0, 3, 5, 7, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
50,1730993849587,1730993851641,2054,14,"0, 3, 5, 7, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
51,1730993850184,1730993851602,1418,13,"0, 3, 5, 7, 62, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90"
52,1730993850691,1730993852638,1947,16,"0, 3, 5, 7, 9, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
53,1730993851248,1730993852973,1725,13,"0, 3, 5, 7, 9, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
54,1730993851830,1730993853685,1855,10,"0, 3, 5, 7, 9, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
55,1730993852407,1730993854370,1963,14,"0, 3, 5, 7, 9, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
56,1730993852926,1730993854524,1598,17,"0, 3, 5, 7, 9, 64, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
57,1730993853518,1730993854789,1271,13,"0, 3, 5, 7, 9, 11, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
58,1730993854027,1730993855429,1402,13,"0, 3, 5, 7, 9, 11, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
59,1730993854542,1730993856493,1951,8,"0, 3, 5, 7, 9, 11, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
60,1730993855083,1730993856666,1583,13,"0, 3, 5, 7, 9, 11, 66, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
61,1730993855603,1730993857829,2226,13,"0, 3, 5, 7, 9, 11, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
62,1730993856114,1730993857818,1704,5,"0, 3, 5, 7, 9, 11, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92"
63,1730993856618,1730993858720,2102,11,"0, 3, 5, 7, 9, 11, 13, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
64,1730993857209,1730993859435,2226,14,"0, 3, 5, 7, 9, 11, 13, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
65,1730993857752,1730993859601,1849,21,"0, 3, 5, 7, 9, 11, 13, 68, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
66,1730993858555,1730993860709,2154,15,"0, 3, 5, 7, 9, 11, 13, 15, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
67,1730993859158,1730993861174,2016,11,"0, 3, 5, 7, 9, 11, 13, 15, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
68,1730993859669,1730993861174,1505,6,"0, 3, 5, 7, 9, 11, 13, 15, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
69,1730993860233,1730993862551,2318,11,"0, 3, 5, 7, 9, 11, 13, 15, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
70,1730993860757,1730993863770,3013,16,"0, 3, 5, 7, 9, 11, 13, 15, 70, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94"
71,1730993861569,1730993864135,2566,9,"0, 3, 5, 7, 9, 11, 13, 15, 17, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
72,1730993862087,1730993864971,2884,4,"0, 3, 5, 7, 9, 11, 13, 15, 17, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
73,1730993862614,1730993865973,3359,12,"0, 3, 5, 7, 9, 11, 13, 15, 17, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
74,1730993863124,1730993866481,3357,7,"0, 3, 5, 7, 9, 11, 13, 15, 17, 72, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
75,1730993863679,1730993866224,2545,10,"0, 3, 5, 7, 9, 11, 13, 15, 17, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
76,1730993864215,1730993866314,2099,21,"0, 3, 5, 7, 9, 11, 13, 15, 17, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
77,1730993864788,1730993867191,2403,6,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 74, 76, 78, 80, 82, 84, 86, 88, 90, 92, 94, 96"
