id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,bypass_com_num,all_com_num,booth
0,1756996320263,1756996320263,1756996320490,1756996321844,1581,2,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 70, 72, 74, 76, 78"
1,1756996320767,1756996320767,1756996320927,1756996322107,1340,4,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
2,1756996321302,1756996321324,1756996321596,1756996323071,1769,11,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
3,1756996321891,1756996321891,1756996322161,1756996323774,1883,11,3,84,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 42, 45, 47, 70, 72, 74, 76, 78, 80"
4,1756996322452,1756996322452,1756996322923,1756996323951,1499,9,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 72, 74, 76, 78, 80"
5,1756996322956,1756996322963,1756996323163,1756996324821,1865,8,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 72, 74, 76, 78, 80"
6,1756996323645,1756996323645,1756996323867,1756996325238,1593,11,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 70, 72, 74, 76, 78, 80"
7,1756996324198,1756996324198,1756996324786,1756996326012,1814,8,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 70, 72, 74, 76, 78, 80"
8,1756996324700,1756996324700,1756996324894,1756996326356,1656,6,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 49, 72, 74, 76, 78, 80"
9,1756996325291,1756996325291,1756996325834,1756996326980,1689,9,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 49, 72, 74, 76, 78, 80"
10,1756996325847,1756996325848,1756996326004,1756996327865,2018,6,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 49, 74, 76, 78, 80"
11,1756996326538,1756996326538,1756996326757,1756996328405,1867,12,0,75,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 39, 41, 43, 49, 74, 76, 78, 80"
12,1756996327090,1756996327090,1756996327229,1756996328866,1776,12,0,75,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 39, 41, 43, 49, 74, 76, 78, 80"
13,1756996327673,1756996327673,1756996327976,1756996329545,1872,14,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 49, 74, 76, 78, 80, 82"
14,1756996328292,1756996328292,1756996328635,1756996330049,1757,14,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 49, 74, 76, 78, 80, 82"
15,1756996328799,1756996328850,1756996328976,1756996330087,1288,7,3,81,"0, 3, 4, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 49, 74, 76, 78, 80, 82"
16,1756996329475,1756996329475,1756996329671,1756996330933,1458,9,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 49, 74, 76, 78, 80, 82"
17,1756996330040,1756996330041,1756996330275,1756996331390,1350,11,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 49, 74, 76, 78, 80, 82"
18,1756996330546,1756996330546,1756996330829,1756996332112,1566,6,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 47, 76, 78, 80, 82, 84"
19,1756996331095,1756996331095,1756996331288,1756996332160,1065,10,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 47, 76, 78, 80, 82, 84"
20,1756996331609,1756996331609,1756996331747,1756996333106,1497,5,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 49, 76, 78, 80, 82, 84"
21,1756996332193,1756996332200,1756996332482,1756996334051,1858,10,0,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 43, 49, 76, 78, 80, 82, 84"
22,1756996332710,1756996332710,1756996332996,1756996334395,1685,4,3,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 48, 49, 59, 76, 78, 82, 84"
