id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,bypass_com_num,all_com_num,booth
0,1756996319763,null,null,1756996320177,414,null,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 70, 72, 74, 76, 78"
1,1756996319767,null,null,1756996320395,628,null,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 70, 72, 74, 76, 78"
2,1756996319769,null,null,1756996320177,408,null,0,78,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 41, 47, 70, 72, 74, 76, 78"
3,1756996319840,null,null,1756996320872,1032,null,3,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 40, 45, 47, 70, 72, 74, 76, 78"
4,1756996319877,null,null,1756996320965,1088,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
5,1756996319893,null,null,1756996320917,1024,null,3,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
6,1756996319900,null,null,1756996321234,1334,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
7,1756996319917,null,null,1756996321233,1316,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
8,1756996319925,null,null,1756996320756,831,null,3,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
9,1756996319951,null,null,1756996320940,989,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
10,1756996319979,null,null,1756996320767,788,null,3,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
11,1756996319981,null,null,1756996321234,1253,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
12,1756996320028,null,null,1756996321024,996,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
13,1756996320030,null,null,1756996321233,1203,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
14,1756996320065,null,null,1756996320920,855,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
15,1756996320110,null,null,1756996321640,1530,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
16,1756996320132,null,null,1756996321233,1101,null,2,81,"0, 3, 5, 7, 9, 11, 13, 15, 17, 19, 21, 23, 25, 27, 29, 31, 33, 35, 37, 39, 47, 57, 70, 72, 74, 76, 78, 80"
