id,start_time,end_phase_a_pro_time,end_phase_a_vali_time,end_time,duration,len_block_range,bypass_com_num,all_com_num,booth
0,1756980270766,null,null,1756980271227,461,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 38, 40, 48, 67, 71, 73, 75, 77"
1,1756980270769,null,null,1756980271167,398,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 36, 38, 40, 48, 67, 71, 73, 75, 77"
2,1756980270806,null,null,1756980271054,248,null,3,69,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 24, 26, 28, 30, 34, 38, 65, 69, 71, 73, 75, 77, 79"
3,1756980270841,null,null,1756980271738,897,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
4,1756980270853,null,null,1756980271682,829,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
5,1756980270866,null,null,1756980271032,166,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
6,1756980270884,null,null,1756980271569,685,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
7,1756980270886,null,null,1756980271738,852,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
8,1756980270911,null,null,1756980271738,827,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
9,1756980270913,null,null,1756980271738,825,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
10,1756980270914,null,null,1756980271738,824,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
11,1756980270966,null,null,1756980272044,1078,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
12,1756980270978,null,null,1756980271738,760,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
13,1756980271011,null,null,1756980271918,907,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
14,1756980271013,null,null,1756980271866,853,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
15,1756980271014,null,null,1756980272044,1030,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
16,1756980271062,null,null,1756980272045,983,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
17,1756980271083,null,null,1756980272066,983,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
18,1756980271136,null,null,1756980272175,1039,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
19,1756980271137,null,null,1756980272433,1296,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
20,1756980271139,null,null,1756980272066,927,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
21,1756980271179,null,null,1756980272067,888,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
22,1756980271181,null,null,1756980272044,863,null,0,72,"2, 4, 6, 8, 10, 12, 14, 16, 18, 20, 22, 26, 28, 30, 32, 36, 40, 50, 67, 69, 71, 73, 75, 77, 79"
