id,start_time,end_time,duration,len_block_range
0,1715694686402,1715694686813,411,77
1,1715694687028,1715694687324,296,63
2,1715694687633,1715694687812,179,85
3,1715694688153,null,null,62
4,1715694688705,1715694689103,398,79
5,1715694689235,1715694689296,61,59
6,1715694689738,1715694690267,529,98
7,1715694690320,1715694690681,361,62
8,1715694690924,1715694691185,261,94
9,1715694691425,1715694691837,412,69
10,1715694692010,1715694692322,312,62
11,1715694692720,1715694693179,459,90
12,1715694693285,1715694693833,548,100
13,1715694694086,1715694694634,548,104
14,1715694694871,1715694694937,66,90
15,1715694695387,1715694695640,253,67
16,1715694696086,1715694696478,392,113
17,1715694696603,null,null,75
18,1715694697234,null,null,67
19,1715694697953,1715694698373,420,128
20,1715694698468,1715694698816,348,32
21,1715694699005,1715694699282,277,98
22,1715694699612,1715694700012,400,73
23,1715694700130,1715694700456,326,65
24,1715694700658,1715694700791,133,65
25,1715694701246,1715694701548,302,110
26,1715694701760,1715694701871,111,41
27,1715694702299,1715694702598,299,66
28,1715694702812,1715694702972,160,77
29,1715694703355,1715694703568,213,90
30,1715694703908,1715694704137,229,75
31,1715694704429,1715694704658,229,62
32,1715694704966,1715694705234,268,95
33,1715694705628,1715694705965,337,77
34,1715694706130,1715694706380,250,48
35,1715694706646,1715694706768,122,93
36,1715694707186,1715694707516,330,61
37,1715694707689,1715694708050,361,85
38,1715694708254,1715694708926,672,116
39,1715694708806,1715694709021,215,20
40,1715694709458,1715694709841,383,105
41,1715694709964,1715694710354,390,55
42,1715694710612,1715694710821,209,81
43,1715694711145,1715694711725,580,85
44,1715694711763,1715694712188,425,84
45,1715694712336,1715694712458,122,61
46,1715694712880,1715694713161,281,91
47,1715694713402,1715694713565,163,75
48,1715694713946,1715694714200,254,54
49,1715694714516,1715694714614,98,79
50,1715694715051,1715694715232,181,76
51,1715694715558,null,null,91
52,1715694716310,1715694716982,672,92
53,1715694716823,1715694717581,758,65
54,1715694717546,null,null,89
55,1715694718252,null,null,98
56,1715694718796,1715694718956,160,75
57,1715694719305,1715694719664,359,77
58,1715694719920,1715694720151,231,79
59,1715694720433,1715694720541,108,54
60,1715694720947,1715694721126,179,75
61,1715694721462,1715694721694,232,95
62,1715694721969,1715694722122,153,42
63,1715694722510,1715694722691,181,72
64,1715694723015,1715694723603,588,81
65,1715694723631,1715694724095,464,70
66,1715694724298,null,null,101
67,1715694725192,1715694725331,139,116
68,1715694725716,1715694725825,109,70
69,1715694726232,1715694726416,184,79
70,1715694726745,1715694726909,164,66
71,1715694727259,1715694727520,261,81
72,1715694727847,1715694728244,397,67
73,1715694728353,1715694728726,373,83
74,1715694729002,1715694729222,220,103
75,1715694729507,1715694729540,33,40
76,1715694730013,1715694730453,440,98
77,1715694730544,1715694730810,266,69
78,1715694731046,1715694731159,113,42
79,1715694731567,1715694732101,534,76
80,1715694732174,1715694732608,434,86
81,1715694732690,1715694733092,402,80
82,1715694733317,1715694733415,98,76
83,1715694733838,1715694734052,214,71
84,1715694734349,1715694734692,343,62
85,1715694734853,1715694735128,275,72
86,1715694735359,1715694735498,139,66
87,1715694735889,1715694736202,313,90
88,1715694736392,1715694736500,108,59
89,1715694736915,null,null,70
90,1715694737502,1715694737891,389,74
91,1715694738033,1715694738490,457,88
92,1715694738588,null,null,57
93,1715694739165,1715694739350,185,91
94,1715694739701,1715694739993,292,79
95,1715694740219,1715694740447,228,51
96,1715694740733,1715694741021,288,65
97,1715694741298,1715694741946,648,111
98,1715694742172,1715694742401,229,86
99,1715694742733,null,null,84
100,1715694743265,null,null,86
101,1715694743878,1715694744332,454,93
102,1715694744453,null,null,62
103,1715694745162,1715694745460,298,107
104,1715694745668,1715694745833,165,54
105,1715694746191,1715694746259,68,69
106,1715694746736,1715694746908,172,85
107,1715694747336,1715694748273,937,106
108,1715694747905,1715694748153,248,41
109,1715694748417,1715694748661,244,76
110,1715694748926,1715694749251,325,58
111,1715694749532,1715694749970,438,87
112,1715694750075,1715694750241,166,81
113,1715694750588,1715694750875,287,68
114,1715694751095,1715694751398,303,69
115,1715694751657,null,null,68
116,1715694752392,1715694752654,262,103
117,1715694752901,1715694753508,607,80
118,1715694753470,1715694753681,211,63
119,1715694754058,1715694754578,520,102
120,1715694754574,1715694754683,109,56
121,1715694755134,1715694755439,305,76
122,1715694755652,null,null,58
123,1715694756198,null,null,98
124,1715694756834,1715694757297,463,83
125,1715694757461,1715694757601,140,71
126,1715694757973,1715694758157,184,68
127,1715694758542,1715694758768,226,80
128,1715694759117,1715694759394,277,90
129,1715694759674,1715694759693,19,59
