id,start_time,end_time,duration,len_block_range
0,0.0,0.19,0.19,52
1,0.52,0.97,0.45,47
2,1.07,1.33,0.26,59
3,1.58,2.0,0.42,56
4,2.1,2.19,0.09,42
5,2.65,2.9,0.25,52
6,3.17,3.58,0.41,48
7,3.89,4.17,0.28,68
8,4.51,4.87,0.36,63
9,5.09,5.31,0.22,59
10,5.65,6.09,0.44,67
12,6.86,7.22,0.36,46
13,7.47,7.57,0.1,62
14,7.98,8.32,0.34,48
15,8.52,8.88,0.36,67
16,9.12,9.38,0.26,71
17,9.62,9.86,0.24,54
18,10.16,10.36,0.2,43
19,10.66,10.9,0.24,75
20,11.24,11.53,0.29,51
21,11.85,12.14,0.29,91
23,12.91,13.05,0.14,58
24,13.41,13.49,0.08,66
25,13.92,14.35,0.43,56
27,15.1,15.37,0.27,93
28,15.78,16.0,0.22,61
29,16.29,16.57,0.28,60
30,16.83,16.97,0.14,61
31,17.35,17.7,0.35,58
33,18.58,18.72,0.14,73
35,19.84,20.2,0.36,98
37,21.24,21.54,0.3,119
38,21.74,21.94,0.2,33
39,22.41,22.61,0.2,70
40,23.03,23.36,0.33,96
41,23.59,24.02,0.43,62
42,24.11,24.36,0.25,43
43,24.63,24.9,0.27,62
44,25.15,25.55,0.4,68
45,25.72,25.88,0.16,68
46,26.23,26.3,0.07,77
47,26.77,27.13,0.36,50
48,27.28,27.69,0.41,73
50,28.62,28.81,0.19,71
53,30.29,30.49,0.2,80
54,30.83,31.02,0.19,55
55,31.42,31.79,0.37,63
56,32.11,32.84,0.73,91
57,32.7,32.93,0.23,76
58,33.28,33.56,0.28,61
59,33.8,34.11,0.31,63
60,34.52,34.94,0.42,93
61,35.03,35.26,0.23,63
62,35.54,36.0,0.46,45
63,36.09,36.37,0.28,62
64,36.68,36.86,0.18,55
65,37.2,37.31,0.11,65
67,38.38,38.66,0.28,84
69,39.76,39.94,0.18,94
70,40.28,40.56,0.28,50
71,40.79,41.04,0.25,62
72,41.35,41.59,0.24,53
73,41.9,42.1,0.2,74
74,42.51,42.68,0.17,69
75,43.02,43.25,0.23,70
76,43.58,43.85,0.27,61
78,44.7,44.77,0.07,68
79,45.22,45.39,0.17,52
80,45.74,45.95,0.21,57
81,46.26,46.43,0.17,57
82,46.77,47.43,0.66,77
83,47.3,47.64,0.34,59
84,47.81,48.15,0.34,62
85,48.51,48.88,0.37,95
86,49.17,49.26,0.09,58
87,49.67,49.93,0.26,61
88,50.18,50.46,0.28,60
89,50.71,50.94,0.23,80
90,51.21,51.25,0.04,53
91,51.71,51.89,0.18,56
93,53.28,53.5,0.22,131
94,53.79,54.05,0.26,65
95,54.35,54.55,0.2,75
97,55.46,55.63,0.17,85
98,56.05,56.57,0.52,41
99,56.65,56.92,0.27,76
101,58.0,58.34,0.34,98
102,58.56,59.0,0.44,78
103,59.14,59.28,0.14,43
104,59.64,59.82,0.18,65
105,60.2,60.24,0.04,56
106,60.72,60.97,0.25,62
107,61.35,61.56,0.21,72
108,61.91,62.04,0.13,68
110,63.44,63.73,0.29,108
111,63.98,64.19,0.21,76
112,64.49,64.78,0.29,61
113,65.18,65.28,0.1,81
114,65.69,66.15,0.46,64
115,66.27,66.72,0.45,74
117,67.55,67.73,0.18,85
118,68.07,68.25,0.18,54
119,68.6,68.75,0.15,69
120,69.11,69.16,0.05,54
121,69.63,69.71,0.08,78
122,70.14,70.86,0.72,36
123,70.75,70.96,0.21,70
124,71.35,71.79,0.44,70
125,71.97,72.33,0.36,116
126,72.49,72.76,0.27,26
127,73.13,73.5,0.37,97
128,73.64,74.27,0.63,28
129,74.17,74.44,0.27,83
130,74.76,75.08,0.32,55
131,75.41,75.54,0.13,83
132,75.92,76.29,0.37,68
133,76.52,76.67,0.15,49
134,77.02,77.48,0.46,59
135,77.61,77.76,0.15,75
136,78.17,78.3,0.13,68
137,78.68,78.86,0.18,51
138,79.19,79.53,0.34,48
139,79.7,79.84,0.14,71
140,80.21,80.67,0.46,52
141,80.98,81.21,0.23,76
142,81.61,81.79,0.18,69
143,82.25,82.5,0.25,74
144,82.8,83.12,0.32,53
145,83.39,83.61,0.22,61
146,84.0,84.66,0.66,67
147,84.66,84.95,0.29,81
148,85.18,85.39,0.21,63
149,85.72,86.34,0.62,64
150,86.4,86.58,0.18,61
151,86.91,86.94,0.03,30
