id,start_time,end_time,duration,len_block_range
0,1722489561521,1722489561666,145,76
1,1722489562197,1722489562731,534,85
2,1722489563090,1722489563432,342,84
3,1722489563683,1722489564030,347,73
4,1722489564310,1722489564584,274,78
5,1722489564938,1722489565329,391,76
6,1722489565445,1722489565604,159,53
7,1722489565951,1722489566347,396,64
8,1722489566529,1722489566629,100,58
9,1722489567048,1722489567375,327,77
10,1722489567659,1722489567815,156,69
11,1722489568163,1722489568286,123,46
12,1722489568679,1722489568839,160,75
13,1722489569220,1722489569497,277,67
14,1722489569743,1722489570077,334,62
15,1722489570397,1722489570792,395,73
16,1722489570908,1722489571081,173,54
17,1722489571423,null,null,69
18,1722489572083,1722489572648,565,84
19,1722489572652,1722489573007,355,67
20,1722489573162,null,null,49
21,1722489573856,1722489574089,233,87
22,1722489574362,1722489574472,110,57
23,1722489574948,1722489575285,337,83
24,1722489575464,1722489575756,292,46
25,1722489575972,null,null,76
26,1722489576634,1722489577210,576,71
27,1722489577200,1722489577401,201,65
28,1722489577740,1722489577918,178,90
29,1722489578251,1722489578476,225,45
30,1722489578754,1722489579213,459,69
31,1722489579258,1722489579647,389,45
32,1722489579848,null,null,88
33,1722489580493,1722489580776,283,74
34,1722489581048,1722489581341,293,50
35,1722489581635,1722489581778,143,91
36,1722489582152,1722489582469,317,50
37,1722489582684,1722489582832,148,63
38,1722489583196,1722489583503,307,64
39,1722489583701,1722489584003,302,59
40,1722489584256,1722489584469,213,81
41,1722489584773,1722489585088,315,32
42,1722489585372,1722489585594,222,82
43,1722489585914,1722489586187,273,88
44,1722489586431,1722489586885,454,45
45,1722489587031,1722489587235,204,70
46,1722489587623,1722489587742,119,66
47,1722489588171,1722489588592,421,73
48,1722489588680,1722489589067,387,54
49,1722489589224,1722489589453,229,75
50,1722489589740,1722489589979,239,53
51,1722489590252,1722489590584,332,70
52,1722489590791,1722489591017,226,71
53,1722489591354,1722489591573,219,52
54,1722489591891,1722489592627,736,59
55,1722489592622,1722489592740,118,90
56,1722489593150,1722489593451,301,74
57,1722489593654,null,null,69
58,1722489594185,1722489594534,349,53
59,1722489594744,1722489594992,248,58
60,1722489595310,1722489595557,247,60
61,1722489595886,1722489596104,218,62
62,1722489596408,1722489596599,191,76
63,1722489596917,1722489597333,416,68
64,1722489597449,1722489597670,221,42
65,1722489598057,null,null,93
66,1722489598651,1722489598886,235,65
67,1722489599158,1722489599336,178,60
68,1722489599672,1722489599975,303,50
69,1722489600186,1722489600328,142,61
70,1722489600691,1722489600801,110,61
71,1722489601196,1722489601557,361,67
72,1722489601733,1722489602192,459,73
73,1722489602263,null,null,63
74,1722489602987,1722489603266,279,86
75,1722489603625,1722489603822,197,67
76,1722489604126,1722489604189,63,62
77,1722489604653,null,null,74
78,1722489605196,1722489605360,164,74
79,1722489605712,1722489606253,541,51
80,1722489606216,1722489606787,571,66
81,1722489606786,1722489607008,222,63
82,1722489607300,1722489607609,309,57
83,1722489607828,null,null,77
84,1722489608732,1722489608891,159,90
85,1722489609243,1722489609450,207,67
86,1722489609785,null,null,74
87,1722489610423,null,null,82
88,1722489610985,null,null,58
89,1722489611678,1722489611891,213,95
90,1722489612250,null,null,54
91,1722489612788,1722489612934,146,75
92,1722489613385,1722489613480,95,68
93,1722489613918,1722489614199,281,73
94,1722489614519,1722489614657,138,67
95,1722489615047,1722489615194,147,68
96,1722489615684,1722489615919,235,82
97,1722489616185,1722489616352,167,52
98,1722489616694,1722489616833,139,68
99,1722489617307,1722489617819,512,58
100,1722489617809,1722489618030,221,105
101,1722489618332,1722489619406,1074,10
102,1722489618944,1722489619788,844,113
103,1722489619452,1722489619788,336,43
104,1722489620218,1722489620641,423,109
105,1722489620833,1722489621003,170,60
106,1722489621393,1722489621632,239,72
107,1722489622004,1722489622323,319,63
108,1722489622518,1722489622616,98,80
109,1722489623055,1722489623671,616,31
110,1722489623635,1722489623859,224,58
111,1722489624191,1722489624757,566,86
112,1722489624722,1722489624940,218,50
113,1722489625358,1722489625601,243,67
114,1722489625918,1722489626061,143,69
115,1722489626517,1722489626777,260,78
116,1722489627120,null,null,69
117,1722489627678,1722489627792,114,80
118,1722489628186,1722489628624,438,62
119,1722489628693,1722489628972,279,55
120,1722489629203,1722489629387,184,65
121,1722489629728,1722489629876,148,68
122,1722489630237,1722489630284,47,57
123,1722489630754,1722489631002,248,57
124,1722489631288,1722489631510,222,67
125,1722489631816,1722489631896,80,48
126,1722489632329,1722489632940,611,69
127,1722489633180,1722489633555,375,88
128,1722489633758,null,null,79
129,1722489634379,1722489634803,424,75
130,1722489634925,1722489635222,297,68
131,1722489635491,1722489635715,224,55
132,1722489636125,null,null,82
133,1722489636691,1722489636928,237,61
134,1722489637315,1722489637559,244,82
135,1722489637858,1722489638015,157,63
136,1722489638369,1722489638737,368,82
137,1722489638908,1722489639080,172,47
138,1722489639477,1722489639588,111,77
139,1722489639988,null,null,63
140,1722489640625,1722489640793,168,84
141,1722489641153,1722489641665,512,63
142,1722489641859,1722489642124,265,75
143,1722489642417,null,null,67
144,1722489643005,1722489643160,155,78
145,1722489643532,1722489643798,266,72
146,1722489644050,1722489644269,219,43
147,1722489644623,1722489644652,29,67
148,1722489645126,1722489645172,46,2
