id,start_time,end_time,duration,len_block_range
0,1715296164831,1715296165765,934,49
1,1715296165394,1715296166509,1115,68
2,1715296166084,1715296167037,953,47
3,1715296166598,1715296167595,997,49
4,1715296167185,1715296167857,672,37
5,1715296167691,1715296168567,876,56
6,1715296168282,1715296169238,956,61
7,1715296168795,1715296169841,1046,40
8,1715296169380,1715296170163,783,45
9,1715296169932,1715296170807,875,34
10,1715296170441,1715296171318,877,49
11,1715296171080,1715296172245,1165,81
12,1715296171581,1715296172842,1261,7
13,1715296172087,null,null,56
14,1715296172874,1715296173525,651,69
15,1715296173401,1715296174315,914,39
16,1715296173920,null,null,43
17,1715296174612,1715296175680,1068,71
18,1715296175319,1715296176152,833,43
19,1715296175830,null,null,61
20,1715296176453,1715296177471,1018,41
21,1715296177068,1715296177853,785,56
22,1715296177704,1715296178373,669,59
23,1715296178305,1715296179033,728,54
24,1715296178817,1715296179565,748,40
25,1715296179394,1715296180514,1120,47
26,1715296180042,1715296180926,884,47
27,1715296180734,1715296181590,856,81
28,1715296181274,1715296182556,1282,37
29,1715296181776,1715296182556,780,43
30,1715296182381,1715296183148,767,46
31,1715296182988,1715296184367,1379,65
32,1715296183674,1715296184434,760,44
33,1715296184257,1715296185035,778,50
34,1715296184764,1715296185709,945,43
35,1715296185271,1715296186071,800,39
36,1715296185813,null,null,65
37,1715296186400,1715296187270,870,38
38,1715296186919,1715296187709,790,45
39,1715296187498,1715296188378,880,44
40,1715296188002,1715296188681,679,46
41,1715296188566,1715296189552,986,42
42,1715296189197,1715296189942,745,57
43,1715296189698,1715296190633,935,51
44,1715296190237,1715296191154,917,47
45,1715296190753,1715296191714,961,37
46,1715296191399,1715296192097,698,63
47,1715296191916,1715296192909,993,38
48,1715296192506,1715296193408,902,57
49,1715296193012,1715296193958,946,35
50,1715296193516,1715296194579,1063,46
51,1715296194066,1715296194994,928,58
52,1715296194579,1715296195632,1053,48
53,1715296195099,1715296196097,998,33
54,1715296195610,1715296196480,870,28
55,1715296196122,1715296196752,630,58
56,1715296196627,null,null,53
57,1715296197518,1715296198507,989,61
58,1715296198056,1715296198945,889,51
59,1715296198578,1715296199496,918,37
60,1715296199104,1715296199805,701,40
61,1715296199652,null,null,48
62,1715296200384,null,null,80
63,1715296201394,1715296202237,843,75
64,1715296201895,1715296202590,695,45
65,1715296202403,1715296203378,975,31
66,1715296202946,1715296203610,664,60
67,1715296203484,null,null,54
68,1715296204190,1715296205165,975,57
69,1715296204947,1715296205772,825,58
70,1715296205545,1715296206219,674,48
71,1715296206054,1715296206931,877,49
72,1715296206568,1715296207717,1149,45
73,1715296207075,1715296207984,909,50
74,1715296207787,null,null,43
75,1715296208512,1715296209265,753,70
76,1715296209109,null,null,60
77,1715296209775,null,null,42
78,1715296210343,1715296210992,649,65
79,1715296210855,1715296212013,1158,37
80,1715296211478,1715296212671,1193,48
81,1715296212050,1715296212924,874,56
82,1715296212560,1715296213810,1250,39
83,1715296213192,1715296213892,700,42
84,1715296213702,1715296214693,991,57
85,1715296214375,1715296215228,853,60
86,1715296214939,1715296215999,1060,39
87,1715296215687,1715296216658,971,67
88,1715296216196,1715296216908,712,29
89,1715296216769,1715296217867,1098,64
90,1715296217301,1715296218581,1280,37
91,1715296217866,1715296218806,940,43
92,1715296218386,1715296219251,865,40
93,1715296218930,1715296219963,1033,44
94,1715296219436,1715296220361,925,38
95,1715296220021,1715296220738,717,52
96,1715296220561,null,null,54
97,1715296221186,null,null,46
98,1715296221776,null,null,44
99,1715296222363,1715296223507,1144,73
100,1715296222943,1715296223911,968,27
101,1715296223449,1715296224082,633,66
102,1715296223963,null,null,39
103,1715296224568,null,null,49
104,1715296225076,1715296225881,805,31
105,1715296225620,1715296226365,745,61
106,1715296226123,1715296226948,825,41
107,1715296226729,1715296227474,745,49
108,1715296227235,null,null,61
109,1715296227927,1715296229526,1599,49
110,1715296228704,1715296229663,959,69
111,1715296229396,1715296230035,639,51
112,1715296229939,1715296230907,968,55
113,1715296230474,1715296231251,777,30
114,1715296230983,1715296231989,1006,50
115,1715296231701,null,null,59
116,1715296232397,1715296233355,958,67
117,1715296232956,1715296233623,667,37
118,1715296233472,1715296234428,956,49
119,1715296234015,null,null,35
120,1715296234656,null,null,62
121,1715296235384,1715296236130,746,67
122,1715296235924,null,null,37
123,1715296236442,1715296237122,680,41
124,1715296237078,1715296238068,990,47
125,1715296237586,1715296238387,801,42
126,1715296238096,1715296238959,863,58
127,1715296238632,1715296239362,730,45
128,1715296239141,null,null,33
129,1715296239774,1715296240737,963,63
130,1715296240426,1715296241020,594,48
131,1715296240954,1715296241878,924,48
132,1715296241577,1715296242440,863,58
133,1715296242080,1715296243314,1234,38
134,1715296242583,1715296243680,1097,35
135,1715296243196,1715296244079,883,61
136,1715296243756,1715296244678,922,46
137,1715296244300,1715296244971,671,44
138,1715296244866,1715296245622,756,65
139,1715296245391,1715296246236,845,37
140,1715296245978,1715296246682,704,51
141,1715296246588,null,null,42
142,1715296247236,1715296248451,1215,82
143,1715296247796,1715296248729,933,25
144,1715296248306,1715296249119,813,37
145,1715296248812,1715296249695,883,50
146,1715296249386,1715296250347,961,58
147,1715296250031,1715296251546,1515,47
148,1715296250701,1715296251548,847,53
149,1715296251222,1715296251838,616,34
150,1715296251740,null,null,50
151,1715296252321,1715296253009,688,43
152,1715296252902,1715296253828,926,55
153,1715296253526,null,null,63
154,1715296254167,1715296254921,754,46
155,1715296254812,null,null,57
156,1715296255445,1715296256131,686,49
157,1715296255956,1715296256685,729,46
158,1715296256458,null,null,28
159,1715296257385,1715296258177,792,94
160,1715296257968,1715296258877,909,37
161,1715296258518,1715296259470,952,50
162,1715296259107,1715296259827,720,46
163,1715296259617,1715296260543,926,36
164,1715296260123,1715296260954,831,38
165,1715296260638,1715296261373,735,38
166,1715296261144,1715296261978,834,41
167,1715296261729,1715296262603,874,40
168,1715296262234,1715296263342,1108,41
169,1715296262750,null,null,38
170,1715296263307,1715296264063,756,42
171,1715296263829,null,null,74
172,1715296264446,1715296265333,887,41
173,1715296265011,1715296266176,1165,50
174,1715296265526,1715296266419,893,39
175,1715296266093,1715296267215,1122,54
176,1715296266664,1715296267455,791,51
177,1715296267168,null,null,40
178,1715296267835,1715296268985,1150,85
179,1715296268373,1715296269345,972,33
180,1715296268988,1715296269834,846,46
181,1715296269634,1715296270643,1009,76
182,1715296270345,1715296271467,1122,54
183,1715296271072,1715296272026,954,59
184,1715296271625,1715296272366,741,54
185,1715296272245,1715296272938,693,48
186,1715296272751,1715296273730,979,74
187,1715296273342,1715296274014,672,35
188,1715296273923,1715296274885,962,66
189,1715296274426,null,null,27
190,1715296275212,1715296276081,869,68
191,1715296275738,1715296276663,925,45
192,1715296276296,1715296277329,1033,35
193,1715296277031,1715296277879,848,74
194,1715296277724,1715296278489,765,46
195,1715296278230,1715296278978,748,44
196,1715296278783,1715296279555,772,38
197,1715296279289,1715296280131,842,35
198,1715296279822,1715296280785,963,57
199,1715296280346,1715296281069,723,26
200,1715296280850,1715296281632,782,43
201,1715296281433,1715296282619,1186,48
202,1715296281951,null,null,48
203,1715296282555,1715296283086,531,16
