id,start_time,end_time,duration,len_block_range
1,0.88,1.48,0.6,59
3,2.17,2.54,0.37,42
4,2.69,3.7,1.01,34
5,3.36,3.7,0.34,58
6,3.87,4.3,0.43,28
7,4.51,4.93,0.42,51
8,5.08,5.73,0.65,53
9,5.59,6.02,0.43,19
10,6.19,6.61,0.42,52
11,6.71,6.99,0.28,34
13,7.8,8.16,0.36,40
15,8.92,9.1,0.18,36
16,9.44,9.71,0.27,50
18,10.53,11.09,0.56,56
19,11.06,11.72,0.66,22
20,11.64,12.21,0.57,51
21,12.22,12.61,0.39,33
23,13.39,13.98,0.59,60
24,13.9,14.17,0.27,30
25,14.41,14.7,0.29,30
26,15.06,15.56,0.5,48
27,15.73,15.97,0.24,51
29,16.9,17.14,0.24,21
30,17.4,17.81,0.41,48
31,17.91,18.15,0.24,23
32,18.42,19.09,0.67,67
34,19.58,19.83,0.25,44
35,20.11,20.34,0.23,38
36,20.63,20.82,0.19,43
37,21.14,21.41,0.27,31
38,21.66,21.91,0.25,37
39,22.21,22.63,0.42,47
40,22.73,23.39,0.66,50
41,23.3,23.65,0.35,29
42,23.8,24.3,0.5,35
43,24.37,24.55,0.18,33
44,24.9,25.43,0.53,46
45,25.41,25.99,0.58,30
46,25.91,26.34,0.43,40
47,26.48,26.89,0.41,45
48,26.99,27.22,0.23,25
49,27.55,27.91,0.36,40
50,28.14,28.42,0.28,54
51,28.68,28.83,0.15,28
52,29.2,29.82,0.62,44
53,29.79,30.18,0.39,50
54,30.3,30.57,0.27,27
55,30.83,31.34,0.51,39
56,31.35,31.49,0.14,32
57,32.0,32.26,0.26,44
58,32.52,32.84,0.32,40
59,33.04,33.26,0.22,41
60,33.59,34.01,0.42,31
61,34.1,34.27,0.17,57
62,34.61,35.01,0.4,19
63,35.13,35.55,0.42,45
64,35.8,36.12,0.32,45
65,36.31,36.71,0.4,46
67,37.61,38.13,0.52,53
68,38.18,38.64,0.46,43
69,38.78,39.03,0.25,52
70,39.3,40.09,0.79,46
71,39.88,40.63,0.75,26
72,40.4,41.06,0.66,40
73,40.93,41.42,0.49,46
75,42.42,42.73,0.31,59
76,43.01,43.53,0.52,51
77,43.61,44.18,0.57,60
78,44.12,44.48,0.36,20
79,44.7,45.16,0.46,41
80,45.28,45.46,0.18,38
81,45.82,46.16,0.34,47
82,46.37,46.52,0.15,34
83,46.9,47.43,0.53,41
84,47.53,47.93,0.4,38
85,48.09,48.35,0.26,55
86,48.6,49.22,0.62,36
87,49.24,49.58,0.34,34
88,49.75,49.95,0.2,40
89,50.31,51.09,0.78,29
91,51.59,51.99,0.4,67
92,52.22,52.55,0.33,40
94,53.64,54.01,0.37,55
95,54.16,54.34,0.18,60
96,54.72,55.28,0.56,39
97,55.23,55.65,0.42,17
98,55.85,55.99,0.14,40
99,56.36,56.64,0.28,55
100,56.88,57.08,0.2,23
101,57.39,57.54,0.15,45
102,57.9,58.21,0.31,26
103,58.41,58.85,0.44,35
104,58.97,59.48,0.51,48
105,59.62,59.93,0.31,50
106,60.13,60.71,0.58,26
107,60.65,60.87,0.22,42
108,61.16,61.31,0.15,36
109,61.67,61.98,0.31,42
110,62.17,62.48,0.31,34
111,62.68,63.09,0.41,35
114,64.34,64.99,0.65,39
115,64.94,65.18,0.24,29
116,65.48,65.64,0.16,38
117,65.99,66.25,0.26,38
118,66.53,66.71,0.18,38
119,67.1,67.36,0.26,49
121,68.17,68.45,0.28,30
122,68.68,69.22,0.54,54
123,69.25,69.46,0.21,30
124,69.78,70.22,0.44,28
125,70.39,70.63,0.24,49
126,70.94,71.44,0.5,42
127,71.5,71.91,0.41,49
128,72.06,72.24,0.18,32
129,72.65,72.92,0.27,46
130,73.16,73.6,0.44,35
131,73.8,74.28,0.48,33
135,76.5,76.85,0.35,55
136,77.08,77.28,0.2,29
137,77.62,77.91,0.29,43
138,78.26,78.64,0.38,47
139,78.78,79.26,0.48,31
140,79.28,79.52,0.24,41
141,79.85,80.44,0.59,32
142,80.61,80.88,0.27,60
