id,start_time,end_time,duration,len_block_range,booth
64,1729577440348,1729577441749,1401,7,null
65,1729577441165,1729577442124,959,4,null
66,1729577441713,1729577444149,2436,21,null
67,1729577442224,1729577444062,1838,34,null
68,1729577442738,1729577444219,1481,27,null
69,1729577443283,1729577444622,1339,22,null
70,1729577443781,1729577445389,1608,8,null
71,1729577444400,1729577447199,2799,22,null
72,1729577444963,1729577446879,1916,18,null
73,1729577445551,1729577447138,1587,6,null
74,1729577446060,1729577448041,1981,21,null
75,1729577446628,1729577448102,1474,30,null
76,1729577447138,1729577448231,1093,18,null
77,1729577447754,1729577448819,1065,9,null
78,1729577448256,1729577449433,1177,33,null
79,1729577448775,1729577450997,2222,26,null
80,1729577449305,1729577451160,1855,12,null
81,1729577449905,1729577451715,1810,7,null
82,1729577450386,1729577452563,2177,19,null
83,1729577450997,1729577453241,2244,38,null
84,1729577451440,1729577452956,1516,12,null
85,1729577452114,1729577453876,1762,26,null
86,1729577452591,1729577454340,1749,18,null
87,1729577453171,1729577454375,1204,26,null
88,1729577453684,1729577454963,1279,26,null
89,1729577454432,1729577455272,840,17,null
90,1729577454793,1729577456100,1307,6,null
91,1729577455352,1729577456957,1605,19,null
92,1729577456079,1729577457703,1624,30,null
93,1729577456466,1729577457841,1375,14,null
94,1729577456949,1729577457832,883,24,null
95,1729577457706,1729577458811,1105,25,null
96,1729577457977,1729577459245,1268,12,null
97,1729577458598,1729577459974,1376,21,null
98,1729577459339,1729577461210,1871,23,null
99,1729577460053,1729577461639,1586,29,null
100,1729577460723,1729577462034,1311,30,null
101,1729577461286,1729577462789,1503,5,null
102,1729577463164,1729577464179,1015,72,null
103,1729577463748,1729577464677,929,17,null
104,1729577464324,1729577467604,3280,35,null
105,1729577464790,1729577467165,2375,9,null
106,1729577465339,1729577466889,1550,2,null
107,1729577465851,1729577468237,2386,4,null
108,1729577466547,1729577468251,1704,30,null
109,1729577467072,1729577468567,1495,36,null
110,1729577467590,1729577469208,1618,22,null
111,1729577468262,1729577469666,1404,37,null
112,1729577468827,1729577470488,1661,9,null
113,1729577469364,1729577470462,1098,7,null
114,1729577469936,1729577471556,1620,20,null
115,1729577470526,1729577471668,1142,29,null
116,1729577471168,1729577472770,1602,29,null
117,1729577471697,1729577473384,1687,23,null
118,1729577472264,1729577475394,3130,23,null
119,1729577472770,1729577474180,1410,13,null
120,1729577473561,1729577475166,1605,13,null
121,1729577474218,1729577477486,3268,36,null
122,1729577474767,1729577476408,1641,23,null
123,1729577475293,1729577477573,2280,13,null
124,1729577475823,1729577478443,2620,32,null
125,1729577476883,null,null,32,null
126,1729577477342,null,null,23,null
127,1729577477855,null,null,25,null
128,1729577478366,null,null,14,null
