id,start_time,end_time,duration,len_block_range,booth
1319,1729581008405,1729581011312,2907,null,null
1320,1729581008405,1729581010603,2198,null,null
1321,1729581008405,1729581010260,1855,null,null
1322,1729581008405,1729581010689,2284,null,null
1323,1729581008405,1729581010214,1809,null,null
1324,1729581008406,1729581010859,2453,null,null
1325,1729581008406,1729581010869,2463,null,null
1326,1729581008406,1729581010299,1893,null,null
1327,1729581008406,1729581010834,2428,null,null
1328,1729581008406,1729581010681,2275,null,null
1329,1729581008406,1729581010970,2564,null,null
1330,1729581008406,1729581011070,2664,null,null
1331,1729581008406,1729581011253,2847,null,null
1332,1729581008422,1729581011386,2964,null,null
1333,1729581008523,1729581011050,2527,null,null
1334,1729581008524,1729581010691,2167,null,null
1335,1729581008524,1729581011105,2581,null,null
1336,1729581008524,1729581011292,2768,null,null
1337,1729581008541,1729581010698,2157,null,null
1338,1729581008542,1729581010769,2227,null,null
1339,1729581008542,1729581011754,3212,null,null
1340,1729581008542,1729581011338,2796,null,null
1341,1729581008542,1729581010586,2044,null,null
1342,1729581008542,1729581011215,2673,null,null
1343,1729581008542,1729581011115,2573,null,null
1344,1729581008542,1729581010838,2296,null,null
1345,1729581008542,1729581011511,2969,null,null
1346,1729581008543,1729581010613,2070,null,null
1347,1729581008543,1729581010867,2324,null,null
1348,1729581008543,1729581010777,2234,null,null
1349,1729581008626,1729581011283,2657,null,null
1350,1729581008626,1729581011292,2666,null,null
1351,1729581008626,1729581010199,1573,null,null
1352,1729581008626,1729581011088,2462,null,null
1353,1729581008630,1729581011949,3319,null,null
1354,1729581008630,1729581011392,2762,null,null
1355,1729581008630,1729581011601,2971,null,null
1356,1729581008634,1729581011061,2427,null,null
1357,1729581008634,1729581011438,2804,null,null
1358,1729581008634,1729581010858,2224,null,null
1359,1729581008636,1729581011440,2804,null,null
1360,1729581008637,1729581011683,3046,null,null
1361,1729581008646,1729581011431,2785,null,null
1362,1729581008647,1729581011521,2874,null,null
1363,1729581008814,1729581010972,2158,null,null
1364,1729581008815,1729581010602,1787,null,null
1365,1729581008909,1729581010712,1803,null,null
1366,1729581008916,1729581011233,2317,null,null
1367,1729581008917,1729581010740,1823,null,null
1368,1729581009068,1729581011876,2808,null,null
1369,1729581009171,1729581011398,2227,null,null
1370,1729581009172,1729581010688,1516,null,null
1371,1729581009176,1729581011535,2359,null,null
1372,1729581009177,1729581011292,2115,null,null
1373,1729581009177,1729581011622,2445,null,null
1374,1729581009177,1729581010568,1391,null,null
1375,1729581009180,1729581011526,2346,null,null
1376,1729581009181,1729581010591,1410,null,null
1377,1729581009184,1729581011628,2444,null,null
1378,1729581009185,1729581011445,2260,null,null
1379,1729581009185,1729581011237,2052,null,null
1380,1729581009390,1729581011052,1662,null,null
1381,1729581009397,1729581011742,2345,null,null
1382,1729581009401,1729581011464,2063,null,null
1383,1729581009402,1729581011596,2194,null,null
1384,1729581009572,1729581011397,1825,null,null
1385,1729581009584,1729581012066,2482,null,null
1386,1729581009593,1729581012069,2476,null,null
1387,1729581009761,1729581011601,1840,null,null
1388,1729581009763,1729581011387,1624,null,null
1389,1729581010027,1729581011620,1593,null,null
1390,1729581010103,1729581011983,1880,null,null
1391,1729581010319,1729581011782,1463,null,null
1392,1729581010419,1729581012046,1627,null,null
1393,1729581010433,1729581012022,1589,null,null
1394,1729581010513,1729581012117,1604,null,null
1395,1729581010714,1729581011780,1066,null,null
1396,1729581010728,1729581012115,1387,null,null
1397,1729581010839,1729581012098,1259,null,null
1398,1729581010945,1729581012285,1340,null,null
1399,1729581011030,1729581012060,1030,null,null
1400,1729581011032,1729581012065,1033,null,null
1401,1729581011165,1729581012165,1000,null,null
1402,1729581011315,1729581012100,785,null,null
1403,1729581011316,1729581012435,1119,null,null
1404,1729581011365,1729581012301,936,null,null
1405,1729581011699,1729581012366,667,null,null
1406,1729581011733,1729581012819,1086,null,null
1407,1729581011785,1729581012675,890,null,null
1408,1729581011785,1729581012331,546,null,null
1409,1729581011841,1729581012875,1034,null,null
1410,1729581011841,1729581012746,905,null,null
1411,1729581011888,1729581012750,862,null,null
1412,1729581011889,1729581012699,810,null,null
1413,1729581011949,1729581012873,924,null,null
1414,1729581011949,1729581012868,919,null,null
1415,1729581011991,1729581012557,566,null,null
1416,1729581011992,1729581012705,713,null,null
